cyt	ks_stat	p_value	ctrl_median	patient_median	q_values
MIP-1a	0.399675	0.0	0.34	0.62	0.0
MIP-1b	0.314871	1.2e-05	3.56	4.51	0.000162
MCP-1	0.308785	1.9e-05	155.16	120.79	0.000171
IL-2	0.288902	7.9e-05	0.0	0.1	0.00053325
IL-6	0.247109	0.0012	0.28	1.09	0.00648
IFN-g	0.241428	0.001678	2.48	1.78	0.0075509999999999996
G-CSF	0.236965	0.002173	11.06	15.59	0.00838157142857143
GM-CSF	0.223981	0.00448	0.0	0.0	0.015119999999999998
IL-17	0.213836	0.007656	0.19	0.48	0.022968
IL-12	0.199838	0.015413	0.06	0.24	0.0416151
IL-10	0.192737	0.021574	1.62	2.08	0.05295436363636363
FGC_basic	0.192331	0.021953	0.2	1.4	0.04939425
IL-9	0.188679	0.025964	1.66	2.23	0.05392523076923077
IL-1ra	0.185433	0.030087	18.79	16.93	0.05802492857142857
IP-10	0.183404	0.032893	514.03	611.76	0.0592074
IL-15	0.181781	0.035354	0.0	0.0	0.059659874999999994
IL-4	0.172449	0.052633	0.06	0.1	0.08359358823529411
VEGF	0.165551	0.069712	0.0	4.965	0.104568
IL-5	0.165348	0.07026	1.74	0.88	0.09984315789473686
IL-13	0.153378	0.111356	1.4	1.81	0.1503306
PDGF-bb	0.146886	0.140808	0.0	0.0	0.1810388571428571
TNF-a	0.13593	0.20445	1.79	2.35	0.2509159090909091
IL-8	0.126598	0.274403	20.65	21.41	0.3221252608695652
Eoxatin	0.102252	0.529367	0.84	0.85	0.5955378750000001
RANTES	0.101238	0.541854	2.19	2.28	0.5852023199999999
IL-1b	0.088456	0.706083	0.02	0.02	0.7332400384615384
IL-7	0.077703	0.835913	0.0	0.205	0.835913
