cyt	ks_stat	p_value	ctrl_median	patient_median	q_values
MIP-1a	0.493952	0.001398	0.34	0.6775	0.037746
MIP-1b	0.393145	0.02058	3.56	4.495	0.27783
IL-5	0.352151	0.050667	1.74	0.505	0.45600299999999994
IFN-g	0.341398	0.062981	2.48	1.565	0.42512174999999996
GM-CSF	0.31922	0.096406	0.0	0.0	0.5205924000000001
IP-10	0.302419	0.132018	514.03	330.78	0.594081
IL-6	0.289651	0.163742	0.28	0.72	0.6315762857142857
IL-10	0.289651	0.163742	1.62	2.055	0.55262925
IL-15	0.267473	0.233916	0.0	0.0	0.701748
FGC_basic	0.252688	0.292134	0.2	2.815	0.7887618
IL-7	0.249328	0.304791	0.0	0.0	0.7481233636363637
IL-9	0.239919	0.349599	1.66	2.235	0.78659775
MCP-1	0.238575	0.354319	155.16	139.97	0.7358933076923078
IL-8	0.235215	0.373619	20.65	18.575	0.7205509285714286
IL-2	0.233199	0.383204	0.0	0.0	0.6897672
Eoxatin	0.231183	0.393164	0.84	1.075	0.66346425
IL-1ra	0.223118	0.435539	18.79	15.365	0.6917384117647059
G-CSF	0.22043	0.450852	11.06	15.03	0.6762779999999999
IL-17	0.214382	0.486493	0.19	0.425	0.6913321578947368
PDGF-bb	0.21371	0.491177	0.0	0.0	0.6630889499999999
RANTES	0.207661	0.523623	2.19	1.465	0.6732295714285714
IL-13	0.188172	0.64418	1.4	2.0325	0.7905845454545454
IL-4	0.167339	0.771501	0.06	0.065	0.9056750869565218
VEGF	0.163978	0.79249	0.0	0.0	0.89155125
TNF-a	0.145833	0.88597	1.79	2.16	0.9568476
IL-12	0.132392	0.939743	0.06	0.11	0.9758869615384616
IL-1b	0.13172	0.942111	0.02	0.02	0.942111
