cyt	ks_stat	p_value	ctrl_median	patient_median
IL-1b	0.110704	0.807080	0.020000	0.030000
IL-2	0.311339	0.004507	0.000000	0.070000
IL-4	0.147361	0.479789	0.060000	0.080000
IL-5	0.210899	0.118111	1.740000	0.515000
IL-6	0.226540	0.077097	0.280000	0.795000
IL-7	0.086022	0.960175	0.000000	0.100000
IL-8	0.185973	0.217874	20.650000	22.170000
IL-10	0.125122	0.679717	1.620000	1.560000
IL-12	0.227761	0.074471	0.060000	0.390000
IL-13	0.203812	0.141367	1.400000	2.285000
IL-17	0.172776	0.291806	0.190000	0.440000
G-CSF	0.393695	0.000114	11.060000	27.095000
GM-CSF	0.221408	0.088857	0.000000	0.000000
IFN-g	0.324536	0.002662	2.480000	1.650000
MCP-1	0.211877	0.114899	155.160000	148.840000
MIP-1b	0.327957	0.002305	3.560000	4.600000
TNF-a	0.144428	0.503250	1.790000	2.200000
IL-1ra	0.120968	0.717945	18.790000	21.047500
IL-9	0.240958	0.050624	1.660000	2.047500
IL-15	0.128055	0.651890	0.000000	0.000000
Eoxatin	0.165934	0.335493	0.840000	0.935000
FGC_basic	0.162023	0.364070	0.200000	1.575000
IP-10	0.137830	0.563435	514.030000	548.295000
PDGF-bb	0.064761	0.998191	0.000000	0.000000
RANTES	0.137830	0.563435	2.190000	2.275000
VEGF	0.203812	0.141367	0.000000	6.685000
MIP-1a	0.606794	0.000000	0.340000	0.855000
