cyt	ks_stat	p_value	ctrl_median	patient_median
IL-1b	0.088456	0.706083	0.020000	0.020000
IL-2	0.288902	0.000079	0.000000	0.100000
IL-4	0.172449	0.052633	0.060000	0.100000
IL-5	0.165348	0.070260	1.740000	0.880000
IL-6	0.247109	0.001200	0.280000	1.090000
IL-7	0.077703	0.835913	0.000000	0.205000
IL-8	0.126598	0.274403	20.650000	21.410000
IL-10	0.192737	0.021574	1.620000	2.080000
IL-12	0.199838	0.015413	0.060000	0.240000
IL-13	0.153378	0.111356	1.400000	1.810000
IL-17	0.213836	0.007656	0.190000	0.480000
G-CSF	0.236965	0.002173	11.060000	15.590000
GM-CSF	0.223981	0.004480	0.000000	0.000000
IFN-g	0.241428	0.001678	2.480000	1.780000
MCP-1	0.308785	0.000019	155.160000	120.790000
MIP-1b	0.314871	0.000012	3.560000	4.510000
TNF-a	0.135930	0.204450	1.790000	2.350000
IL-1ra	0.185433	0.030087	18.790000	16.930000
IL-9	0.188679	0.025964	1.660000	2.230000
IL-15	0.181781	0.035354	0.000000	0.000000
Eoxatin	0.102252	0.529367	0.840000	0.850000
FGC_basic	0.192331	0.021953	0.200000	1.400000
IP-10	0.183404	0.032893	514.030000	611.760000
PDGF-bb	0.146886	0.140808	0.000000	0.000000
RANTES	0.101238	0.541854	2.190000	2.280000
VEGF	0.165551	0.069712	0.000000	4.965000
MIP-1a	0.399675	0.000000	0.340000	0.620000
