cyt	ks_stat	p_value	ctrl_median	patient_median
IL-1b	0.131720	0.942111	0.020000	0.020000
IL-2	0.233199	0.383204	0.000000	0.000000
IL-4	0.167339	0.771501	0.060000	0.065000
IL-5	0.352151	0.050667	1.740000	0.505000
IL-6	0.289651	0.163742	0.280000	0.720000
IL-7	0.249328	0.304791	0.000000	0.000000
IL-8	0.235215	0.373619	20.650000	18.575000
IL-10	0.289651	0.163742	1.620000	2.055000
IL-12	0.132392	0.939743	0.060000	0.110000
IL-13	0.188172	0.644180	1.400000	2.032500
IL-17	0.214382	0.486493	0.190000	0.425000
G-CSF	0.220430	0.450852	11.060000	15.030000
GM-CSF	0.319220	0.096406	0.000000	0.000000
IFN-g	0.341398	0.062981	2.480000	1.565000
MCP-1	0.238575	0.354319	155.160000	139.970000
MIP-1b	0.393145	0.020580	3.560000	4.495000
TNF-a	0.145833	0.885970	1.790000	2.160000
IL-1ra	0.223118	0.435539	18.790000	15.365000
IL-9	0.239919	0.349599	1.660000	2.235000
IL-15	0.267473	0.233916	0.000000	0.000000
Eoxatin	0.231183	0.393164	0.840000	1.075000
FGC_basic	0.252688	0.292134	0.200000	2.815000
IP-10	0.302419	0.132018	514.030000	330.780000
PDGF-bb	0.213710	0.491177	0.000000	0.000000
RANTES	0.207661	0.523623	2.190000	1.465000
VEGF	0.163978	0.792490	0.000000	0.000000
MIP-1a	0.493952	0.001398	0.340000	0.677500
