cyt	ks_stat	p_value	ctrl_median	patient_median
IL-1b	0.111419	0.830101	0.020000	0.030000
IL-2	0.302809	0.009571	0.000000	0.020000
IL-4	0.164776	0.384457	0.040000	0.080000
IL-5	0.241667	0.066530	1.460000	0.315000
IL-6	0.228571	0.084105	0.270000	0.685000
IL-7	0.068966	0.997035	0.000000	0.030000
IL-8	0.187302	0.233141	19.935000	22.090000
IL-10	0.132576	0.640693	1.480000	1.485000
IL-12	0.237025	0.066297	0.000000	0.325000
IL-13	0.226601	0.090059	1.290000	2.185000
IL-17	0.190017	0.230864	0.150000	0.390000
G-CSF	0.453488	0.000010	10.565000	26.250000
GM-CSF	0.133603	0.663013	0.000000	0.000000
IFN-g	0.360705	0.000873	2.440000	1.610000
MCP-1	0.215504	0.112221	153.195000	147.320000
MIP-1b	0.331746	0.002642	3.425000	4.425000
TNF-a	0.150388	0.468598	1.760000	2.110000
IL-1ra	0.128571	0.677140	17.785000	19.300000
IL-9	0.277584	0.022303	1.537500	2.030000
IL-15	0.120635	0.748296	0.000000	0.000000
Eoxatin	0.172610	0.305113	0.780000	0.920000
FGC_basic	0.124542	0.747533	0.000000	1.350000
IP-10	0.140046	0.556349	506.750000	542.760000
PDGF-bb	0.084886	0.970619	0.000000	0.000000
RANTES	0.150183	0.485276	2.160000	1.845000
VEGF	0.234219	0.074162	0.000000	6.545000
MIP-1a	0.642316	0.000000	0.330000	0.800000
