cyt	ks_stat	p_value	ctrl_median	patient_median
IL-1b	0.096403	0.633572	0.020000	0.010000
IL-2	0.290174	0.000117	0.000000	0.000000
IL-4	0.201140	0.019766	0.040000	0.080000
IL-5	0.179481	0.050161	1.460000	0.620000
IL-6	0.258423	0.000762	0.270000	1.050000
IL-7	0.095227	0.653590	0.000000	0.090000
IL-8	0.119573	0.359162	19.935000	20.430000
IL-10	0.210526	0.011915	1.480000	2.017500
IL-12	0.203512	0.016067	0.000000	0.170000
IL-13	0.168379	0.075782	1.290000	1.730000
IL-17	0.196904	0.023945	0.150000	0.440000
G-CSF	0.278006	0.000291	10.565000	15.290000
GM-CSF	0.162514	0.092753	0.000000	0.000000
IFN-g	0.255556	0.000950	2.440000	1.575000
MCP-1	0.315054	0.000016	153.195000	119.225000
MIP-1b	0.318567	0.000013	3.425000	4.355000
TNF-a	0.146237	0.155594	1.760000	2.250000
IL-1ra	0.189247	0.028793	17.785000	16.460000
IL-9	0.234784	0.004199	1.537500	2.130000
IL-15	0.178801	0.046132	0.000000	0.000000
Eoxatin	0.110394	0.452246	0.780000	0.820000
FGC_basic	0.161074	0.092600	0.000000	0.690000
IP-10	0.189810	0.027641	506.750000	565.070000
PDGF-bb	0.133540	0.229258	0.000000	0.000000
RANTES	0.100886	0.560260	2.160000	2.160000
VEGF	0.199336	0.020857	0.000000	4.622500
MIP-1a	0.423615	0.000000	0.330000	0.605000
