cyt	ks_stat	p_value	ctrl_median	patient_median
IL-1b	0.131818	0.952717	0.020000	0.020000
IL-2	0.231461	0.420427	0.000000	0.000000
IL-4	0.183721	0.711305	0.040000	0.040000
IL-5	0.374713	0.040326	1.460000	0.480000
IL-6	0.288889	0.204340	0.270000	0.660000
IL-7	0.264368	0.279437	0.000000	0.000000
IL-8	0.255556	0.331973	19.935000	18.140000
IL-10	0.303030	0.151892	1.480000	2.000000
IL-12	0.128839	0.960869	0.000000	0.110000
IL-13	0.202299	0.597332	1.290000	1.510000
IL-17	0.236434	0.403825	0.150000	0.410000
G-CSF	0.245736	0.357142	10.565000	14.040000
GM-CSF	0.301099	0.158530	0.000000	0.000000
IFN-g	0.377778	0.040818	2.440000	1.320000
MCP-1	0.215278	0.485062	153.195000	139.970000
MIP-1b	0.400000	0.025361	3.425000	4.360000
TNF-a	0.177778	0.770276	1.760000	2.040000
IL-1ra	0.255556	0.331973	17.785000	14.060000
IL-9	0.250000	0.398089	1.537500	1.850000
IL-15	0.255556	0.331973	0.000000	0.000000
Eoxatin	0.255556	0.283535	0.780000	1.075000
FGC_basic	0.235897	0.406891	0.000000	2.440000
IP-10	0.336996	0.083760	506.750000	293.050000
PDGF-bb	0.181159	0.720562	0.000000	0.000000
RANTES	0.237363	0.396757	2.160000	1.420000
VEGF	0.188372	0.677831	0.000000	0.000000
MIP-1a	0.539773	0.000369	0.330000	0.677500
