	cyt	act_med	noact_med	ks_stat	p_val	q_values
14	CCL2	123.33	123.16	0.0521739130434782	0.9978155423817838	0.9978155423817838
12	CSF2	0.0	0.0	0.0521739130434782	0.9978155423817838	1.0361930632426217
9	IL13	1.71	1.69	0.0521739130434782	0.9978155423817838	1.0776407857723265
15	CCL4	4.31	4.52	0.0521739130434782	0.9978155423817838	1.1225424851795067
2	IL4	0.1	0.1	0.0608695652173913	0.9841873781221137	1.1553504004042203
21	FGF2	1.79	1.12	0.0608695652173913	0.9841873781221137	1.2078663276953212
25	VEGFA	7.775	13.1	0.0608695652173913	0.9841873781221137	1.265383771871289
16	TNF	2.29	2.1	0.0608695652173913	0.9841873781221137	1.3286529604648534
10	IL17A	0.44	0.37	0.0695652173913043	0.9451291140844246	1.3430782147515508
3	IL5	1.0	1.62	0.0956521739130434	0.6710647366531342	1.3937498376642017
0	IL1B	0.02	0.03	0.0869565217391304	0.7797027200315404	1.4034648960567726
4	IL6	1.26	1.26	0.0695652173913043	0.9451291140844246	1.4176936711266368
23	PDGFB	0.0	0.0	0.0782608695652174	0.874968637574931	1.476509575907696
17	IL1RN	19.84	18.34	0.0695652173913043	0.9451291140844246	1.5010874164870271
6	CXCL8	21.41	23.01	0.0869565217391304	0.7797027200315404	1.5037123886322565
8	IL12B	0.28	0.08	0.0956521739130434	0.6710647366531342	1.509895657469552
7	IL10	1.88	1.78	0.0956521739130434	0.6710647366531342	1.647158899057693
19	IL15	0.0	0.0	0.1043478260869565	0.5604432802018713	1.6813298406056139
13	IFNG	1.6	1.81	0.0956521739130434	0.6710647366531342	1.8118747889634623
5	IL7	0.18	0.405	0.1043478260869565	0.5604432802018713	1.8914960706813155
20	CCL11	0.82	0.79	0.1130434782608695	0.456097604053144	2.0524392182391478
26	CCL3	0.62	0.68	0.1043478260869565	0.5604432802018713	2.1617097950643607
24	CCL5	2.72	2.15	0.1217391304347826	0.3628450938770879	2.4492043836703434
22	CXCL10	611.15	542.63	0.1130434782608695	0.456097604053144	2.4629270618869774
11	CSF3	18.63	23.57	0.1391304347826087	0.2161908570891507	2.9185765707035345
1	IL2	0.0	0.17	0.1217391304347826	0.3628450938770879	3.2656058448937912
18	IL9	2.37	2.47	0.1478260869565217	0.1622539691977319	4.380857168338761
