	IL1B	IL2	IL4	IL5	IL6	IL7	CXCL8	IL10	IL12B	IL13	IL17A	CSF3	CSF2	IFNG	CCL2	CCL4	TNF	IL1RN	IL9	IL15	CCL11	FGF2	CXCL10	PDGFB	CCL5	VEGFA	CCL3
IL1B	0.0	6.285714285714286	2.5714285714285716	11.142857142857142	3.857142857142857	3.2857142857142856	13.571428571428571	10.428571428571429	6.142857142857143	10.571428571428571	4.714285714285714	10.142857142857142	5.285714285714286	14.142857142857142	14.571428571428571	13.142857142857142	11.142857142857142	11.857142857142858	11.285714285714286	5.571428571428571	13.571428571428571	4.714285714285714	12.285714285714286	5.571428571428571	14.714285714285714	4.571428571428571	10.142857142857142
IL2	6.285714285714286	0.0	7.142857142857143	9.142857142857142	6.428571428571429	6.428571428571429	10.714285714285714	7.285714285714286	1.0	6.285714285714286	4.714285714285714	9.571428571428571	6.142857142857143	11.0	11.428571428571429	8.285714285714286	8.0	10.714285714285714	9.285714285714286	3.5714285714285716	9.0	4.142857142857143	9.428571428571429	4.714285714285714	11.0	4.285714285714286	9.571428571428571
IL4	2.5714285714285716	7.142857142857143	0.0	12.285714285714286	3.2857142857142856	3.5714285714285716	11.285714285714286	11.285714285714286	6.714285714285714	12.285714285714286	4.428571428571429	9.571428571428571	4.142857142857143	13.857142857142858	14.285714285714286	12.571428571428571	11.142857142857142	12.428571428571429	12.714285714285714	5.571428571428571	13.0	5.0	10.0	4.142857142857143	15.571428571428571	4.0	9.571428571428571
IL5	11.142857142857142	9.142857142857142	12.285714285714286	0.0	10.428571428571429	12.714285714285714	10.428571428571429	7.571428571428571	9.571428571428571	11.428571428571429	9.857142857142858	8.428571428571429	10.428571428571429	9.857142857142858	8.0	11.428571428571429	14.571428571428571	5.285714285714286	7.571428571428571	10.714285714285714	12.714285714285714	9.285714285714286	11.142857142857142	11.571428571428571	5.571428571428571	11.714285714285714	7.857142857142857
IL6	3.857142857142857	6.428571428571429	3.2857142857142856	10.428571428571429	0.0	2.857142857142857	10.857142857142858	12.0	5.714285714285714	12.714285714285714	3.142857142857143	8.857142857142858	4.0	12.0	12.428571428571429	11.571428571428571	12.428571428571429	12.571428571428571	14.0	4.571428571428571	13.428571428571429	3.4285714285714284	9.571428571428571	3.142857142857143	14.571428571428571	5.0	8.857142857142858
IL7	3.2857142857142856	6.428571428571429	3.5714285714285716	12.714285714285714	2.857142857142857	0.0	12.285714285714286	12.285714285714286	6.0	11.285714285714286	5.142857142857143	10.857142857142858	5.714285714285714	13.714285714285714	14.142857142857142	13.0	11.285714285714286	14.857142857142858	13.428571428571429	5.428571428571429	13.428571428571429	5.142857142857143	11.0	4.857142857142857	16.571428571428573	4.428571428571429	10.857142857142858
CXCL8	13.571428571428571	10.714285714285714	11.285714285714286	10.428571428571429	10.857142857142858	12.285714285714286	0.0	9.714285714285714	10.285714285714286	13.285714285714286	9.428571428571429	12.0	8.857142857142858	10.0	9.857142857142858	9.0	10.428571428571429	10.857142857142858	11.714285714285714	10.285714285714286	9.714285714285714	10.571428571428571	2.4285714285714284	8.857142857142858	9.714285714285714	11.857142857142858	12.571428571428571
IL10	10.428571428571429	7.285714285714286	11.285714285714286	7.571428571428571	12.0	12.285714285714286	9.714285714285714	0.0	7.714285714285714	5.285714285714286	10.0	13.714285714285714	10.571428571428571	14.285714285714286	13.857142857142858	9.857142857142858	9.571428571428571	7.428571428571429	2.5714285714285716	8.857142857142858	9.428571428571429	10.285714285714286	11.285714285714286	9.714285714285714	5.714285714285714	10.428571428571429	13.142857142857142
IL12B	6.142857142857143	1.0	6.714285714285714	9.571428571428571	5.714285714285714	6.0	10.285714285714286	7.714285714285714	0.0	7.0	4.0	9.714285714285714	5.428571428571429	11.428571428571429	11.857142857142858	8.428571428571429	8.428571428571429	10.571428571428571	9.714285714285714	2.857142857142857	9.428571428571429	3.4285714285714284	9.0	3.7142857142857144	11.142857142857142	4.428571428571429	9.714285714285714
IL13	10.571428571428571	6.285714285714286	12.285714285714286	11.428571428571429	12.714285714285714	11.285714285714286	13.285714285714286	5.285714285714286	7.0	0.0	11.0	12.428571428571429	12.428571428571429	12.142857142857142	12.0	7.428571428571429	4.857142857142857	11.571428571428571	5.285714285714286	8.428571428571429	7.571428571428571	10.428571428571429	12.857142857142858	10.142857142857142	9.285714285714286	8.857142857142858	11.857142857142858
