	IL1B	IL2	IL4	IL5	IL6	IL7	CXCL8	IL10	IL12B	IL13	IL17A	CSF3	CSF2	IFNG	CCL2	CCL4	TNF	IL1RN	IL9	IL15	CCL11	FGF2	CXCL10	PDGFB	CCL5	VEGFA	CCL3
IL1B	7	6	7	2	6	7	1	0	6	1	6	4	6	0	0	0	1	2	1	6	0	6	1	6	0	7	4
IL2	6	7	6	2	7	6	1	1	7	0	7	4	7	0	0	1	0	2	0	7	1	7	1	7	0	6	5
IL4	7	6	7	2	6	7	1	0	6	1	6	4	6	0	0	0	1	2	1	6	0	6	1	6	0	7	4
IL5	2	2	2	7	2	2	3	3	2	1	2	3	2	0	1	0	0	5	4	2	0	2	2	2	4	2	3
IL6	6	7	6	2	7	6	1	1	7	0	7	4	7	0	0	1	0	2	0	7	1	7	1	7	0	6	5
IL7	7	6	7	2	6	7	1	0	6	1	6	4	6	0	0	0	1	2	1	6	0	6	1	6	0	7	4
CXCL8	1	1	1	3	1	1	7	2	1	0	1	1	1	0	1	2	2	4	2	1	3	1	5	1	4	1	0
IL10	0	1	0	3	1	0	2	7	1	4	1	1	1	1	2	3	2	2	5	1	2	1	1	1	4	0	1
IL12B	6	7	6	2	7	6	1	1	7	0	7	4	7	0	0	1	0	2	0	7	1	7	1	7	0	6	5
IL13	1	0	1	1	0	1	0	4	0	7	0	2	0	1	1	4	5	0	4	0	1	0	0	0	2	1	1
IL17A	6	7	6	2	7	6	1	1	7	0	7	4	7	0	0	1	0	2	0	7	1	7	1	7	0	6	5
CSF3	4	4	4	3	4	4	1	1	4	2	4	7	4	1	1	2	2	3	0	4	1	4	1	4	1	4	5
CSF2	6	7	6	2	7	6	1	1	7	0	7	4	7	0	0	1	0	2	0	7	1	7	1	7	0	6	5
IFNG	0	0	0	0	0	0	0	1	0	1	0	1	0	7	6	1	1	0	0	0	3	0	0	0	0	0	0
CCL2	0	0	0	1	0	0	1	2	0	1	0	1	0	6	7	1	1	1	1	0	2	0	0	0	1	0	0
CCL4	0	1	0	0	1	0	2	3	1	4	1	2	1	1	1	7	6	0	1	1	4	1	2	1	2	0	2
TNF	1	0	1	0	0	1	2	2	0	5	0	2	0	1	1	6	7	0	2	0	3	0	2	0	2	1	1
IL1RN	2	2	2	5	2	2	4	2	2	0	2	3	2	0	1	0	0	7	3	2	1	2	3	2	4	2	3
IL9	1	0	1	4	0	1	2	5	0	4	0	0	0	0	1	1	2	3	7	0	0	0	1	0	5	1	1
IL15	6	7	6	2	7	6	1	1	7	0	7	4	7	0	0	1	0	2	0	7	1	7	1	7	0	6	5
CCL11	0	1	0	0	1	0	3	2	1	1	1	1	1	3	2	4	3	1	0	1	7	1	3	1	1	0	1
FGF2	6	7	6	2	7	6	1	1	7	0	7	4	7	0	0	1	0	2	0	7	1	7	1	7	0	6	5
CXCL10	1	1	1	2	1	1	5	1	1	0	1	1	1	0	0	2	2	3	1	1	3	1	7	1	3	1	0
PDGFB	6	7	6	2	7	6	1	1	7	0	7	4	7	0	0	1	0	2	0	7	1	7	1	7	0	6	5
CCL5	0	0	0	4	0	0	4	4	0	2	0	1	0	0	1	2	2	4	5	0	1	0	3	0	7	0	1
VEGFA	7	6	7	2	6	7	1	0	6	1	6	4	6	0	0	0	1	2	1	6	0	6	1	6	0	7	4
CCL3	4	5	4	3	5	4	0	1	5	1	5	5	5	0	0	2	1	3	1	5	1	5	0	5	1	4	7
