interactor	score
NCAM1	0.455
NCAM1	0.455
TNFRSF9	0.461
TNFRSF9	0.461
ENSG00000255819	0.514
ENSG00000255819	0.514
VEGFC	0.611
VEGFC	0.611
VEGFA	0.865
VEGFA	0.865
SSTR3	0.9
SSTR3	0.9
GNB1	0.9
GNB1	0.9
ADRA2B	0.905
ADRA2B	0.905
APLNR	0.909
APLNR	0.909
CCL4L1	0.913
CCL4L1	0.913
CCL4	0.932
CCL4	0.932
CCL16	0.935
CCL16	0.935
CFTR	0.496
CFTR	0.496
CX3CL1	0.974
CX3CL1	0.974
CD74	0.476
CD74	0.476
CD4	0.463
CD4	0.463
HEBP1	0.9
HEBP1	0.9
ICAM3	0.437
ICAM3	0.437
TNFRSF1A	0.56
TNFRSF1A	0.56
DRD4	0.901
DRD4	0.901
TBX21	0.635
TBX21	0.635
MIF	0.531
MIF	0.531
OSM	0.441
OSM	0.441
MAPK1	0.483
MAPK1	0.483
IL2RB	0.475
IL2RB	0.475
CTSG	0.422
CTSG	0.422
GZMH	0.666
GZMH	0.666
GZMB	0.697
GZMB	0.697
BDKRB1	0.906
BDKRB1	0.906
NFKBIA	0.463
NFKBIA	0.463
TIMP1	0.589
TIMP1	0.589
MMP2	0.51
MMP2	0.51
CCL17	0.617
CCL17	0.617
DECR1	0.426
DECR1	0.426
RELB	0.462
RELB	0.462
RETN	0.438
RETN	0.438
TGFB1	0.491
TGFB1	0.491
NKG7	0.648
NKG7	0.648
HGF	0.706
HGF	0.706
NOD1	0.433
NOD1	0.433
SERPINE1	0.493
SERPINE1	0.493
C5	0.922
C5	0.922
MPO	0.55
MPO	0.55
EPX	0.477
EPX	0.477
CSF3	0.826
CSF3	0.826
CCL2	0.432
CCL2	0.432
CCL1	0.966
CCL1	0.966
CCL13	0.929
CCL13	0.929
CD38	0.427
CD38	0.427
CXCL6	0.965
CXCL6	0.965
PF4V1	0.556
PF4V1	0.556
NFKB1	0.881
NFKB1	0.881
IL2	0.795
IL2	0.795
CCND1	0.542
CCND1	0.542
IL10RA	0.53
IL10RA	0.53
KITLG	0.511
KITLG	0.511
CD69	0.583
CD69	0.583
SELPLG	0.448
SELPLG	0.448
IFNG	0.771
IFNG	0.771
GAPDH	0.63
GAPDH	0.63
GNB3	0.904
GNB3	0.904
KLRB1	0.425
KLRB1	0.425
MAPK14	0.608
MAPK14	0.608
GZMK	0.654
GZMK	0.654
GRM6	0.9
GRM6	0.9
IL12B	0.444
IL12B	0.444
IL4	0.811
IL4	0.811
IL5	0.826
IL5	0.826
GNB4	0.9
GNB4	0.9
OPRD1	0.917
OPRD1	0.917
SELL	0.613
SELL	0.613
ABCG2	0.451
ABCG2	0.451
TAS2R8	0.9
TAS2R8	0.9
KLRK1	0.549
KLRK1	0.549
TAS2R10	0.9
TAS2R10	0.9
TAS2R7	0.9
TAS2R7	0.9
TAS2R9	0.9
TAS2R9	0.9
TNFSF10	0.529
TNFSF10	0.529
TNFAIP6	0.555
TNFAIP6	0.555
SNAI1	0.6
SNAI1	0.6
TREM1	0.46
TREM1	0.46
SPHK2	0.483
SPHK2	0.483
IRF1	0.784
IRF1	0.784
C3	0.934
C3	0.934
S1PR4	0.924
S1PR4	0.924
CCR7	0.971
CCR7	0.971
TAS2R3	0.9
TAS2R3	0.9
TAS2R4	0.9
TAS2R4	0.9
TAS2R5	0.9
TAS2R5	0.9
KLF2	0.508
KLF2	0.508
GNG13	0.9
GNG13	0.9
GNG11	0.901
GNG11	0.901
GNGT1	0.904
GNGT1	0.904
MCHR1	0.9
MCHR1	0.9
GALR3	0.9
GALR3	0.9
LIF	0.44
LIF	0.44
TAS2R16	0.9
TAS2R16	0.9
ACKR4	0.647
ACKR4	0.647
CD68	0.621
CD68	0.621
APOE	0.478
APOE	0.478
LGALS3	0.626
LGALS3	0.626
SSTR4	0.9
SSTR4	0.9
CRP	0.723
CRP	0.723
NMUR2	0.9
NMUR2	0.9
HRH4	0.918
HRH4	0.918
MTNR1B	0.9
MTNR1B	0.9
OASL	0.501
OASL	0.501
IL1RN	0.59
IL1RN	0.59
GABBR2	0.9
GABBR2	0.9
CCL21	0.972
CCL21	0.972
CCL27	0.977
CCL27	0.977
TLR2	0.73
TLR2	0.73
MMP13	0.445
MMP13	0.445
ADCY3	0.903
ADCY3	0.903
PEBP1	0.505
PEBP1	0.505
GNB5	0.9
GNB5	0.9
IL12RB2	0.434
IL12RB2	0.434
TIMP2	0.426
TIMP2	0.426
MAPK3	0.532
MAPK3	0.532
ITGAE	0.437
ITGAE	0.437
IL1A	0.676
IL1A	0.676
IL1B	0.88
IL1B	0.88
IFIH1	0.615
IFIH1	0.615
SELP	0.665
SELP	0.665
IL7	0.754
IL7	0.754
GNLY	0.583
GNLY	0.583
NMU	0.9
NMU	0.9
CD80	0.657
CD80	0.657
IL21	0.612
IL21	0.612
FGF2	0.6
FGF2	0.6
IL11	0.535
IL11	0.535
STAT3	0.972
STAT3	0.972
ICAM1	0.847
ICAM1	0.847
KNG1	0.925
KNG1	0.925
VCAN	0.463
VCAN	0.463
EGF	0.581
EGF	0.581
OPRK1	0.918
OPRK1	0.918
GAL	0.905
GAL	0.905
ITIH4	0.589
ITIH4	0.589
CD27	0.451
CD27	0.451
SSTR1	0.9
SSTR1	0.9
IRF8	0.655
IRF8	0.655
IFNAR1	0.46
