interactor	score
SFTPD	0.403
SFTPD	0.403
SERPINB1	0.403
SERPINB1	0.403
MATK	0.41
MATK	0.41
MBP	0.41
MBP	0.41
CD8A	0.41
CD8A	0.41
CD47	0.412
CD47	0.412
SIGLEC1	0.412
SIGLEC1	0.412
CCR8	0.412
CCR8	0.412
KIR3DL2	0.414
KIR3DL2	0.414
IL24	0.414
IL24	0.414
IRAK1	0.416
IRAK1	0.416
HSPA4	0.416
HSPA4	0.416
MCL1	0.416
MCL1	0.416
TNFRSF11B	0.416
TNFRSF11B	0.416
SPTA1	0.416
SPTA1	0.416
RAG1	0.418
RAG1	0.418
GATA2	0.418
GATA2	0.418
CD33L2	0.42
CD33L2	0.42
ENG	0.42
ENG	0.42
ANG	0.42
ANG	0.42
B2M	0.42
B2M	0.42
OBBP2	0.42
OBBP2	0.42
MX1	0.421
MX1	0.421
IL31	0.422
IL31	0.422
PGF	0.422
PGF	0.422
PROM1	0.422
PROM1	0.422
KLRC1	0.422
KLRC1	0.422
CASP8	0.424
CASP8	0.424
IRF5	0.424
IRF5	0.424
NCR3	0.426
NCR3	0.426
KIAA0101	0.426
KIAA0101	0.426
CD3E	0.427
CD3E	0.427
ITGA4	0.428
ITGA4	0.428
PABPC1	0.428
PABPC1	0.428
AREG	0.428
AREG	0.428
SLAMF1	0.428
SLAMF1	0.428
GATA1	0.429
GATA1	0.429
HIST2H2BE	0.429
HIST2H2BE	0.429
HLA-A	0.429
HLA-A	0.429
SYNCRIP	0.429
SYNCRIP	0.429
ERVW-1	0.43
ERVW-1	0.43
MUC5AC	0.431
MUC5AC	0.431
IL19	0.431
IL19	0.431
ACTB	0.435
ACTB	0.435
OPRM1	0.438
OPRM1	0.438
HPRT1	0.44
HPRT1	0.44
IL25	0.44
IL25	0.44
NCR2	0.44
NCR2	0.44
ABL1	0.44
ABL1	0.44
ACKR2	0.44
ACKR2	0.44
CLEC6A	0.44
CLEC6A	0.44
IL1F10	0.441
IL1F10	0.441
SPP1	0.441
SPP1	0.441
