interactor	score
HMGB1	0.428
HMGB1	0.428
FLT3LG	0.429
FLT3LG	0.429
HAVCR2	0.429
HAVCR2	0.429
EDNRA	0.432
EDNRA	0.432
IRAK1	0.433
IRAK1	0.433
CASP3	0.434
CASP3	0.434
IL15RA	0.438
IL15RA	0.438
IL6R	0.438
IL6R	0.438
IFI16	0.439
IFI16	0.439
FGF13	0.44
FGF13	0.44
TNFRSF4	0.441
TNFRSF4	0.441
EMR1	0.444
EMR1	0.444
TRAF6	0.445
TRAF6	0.445
XAF1	0.445
XAF1	0.445
GPT	0.446
GPT	0.446
TSLP	0.447
TSLP	0.447
LEP	0.447
LEP	0.447
PARP14	0.448
PARP14	0.448
FN1	0.448
FN1	0.448
SPP1	0.451
SPP1	0.451
JAK1	0.451
JAK1	0.451
IL17RA	0.452
IL17RA	0.452
RELA	0.452
RELA	0.452
IFITM3	0.452
IFITM3	0.452
IFNGR1	0.452
IFNGR1	0.452
MMP1	0.454
MMP1	0.454
CD209	0.457
CD209	0.457
IFNAR2	0.457
IFNAR2	0.457
SAMD9L	0.46
SAMD9L	0.46
JUN	0.461
JUN	0.461
EPSTI1	0.462
EPSTI1	0.462
CD1D	0.463
CD1D	0.463
B2M	0.464
B2M	0.464
ITLN1	0.466
ITLN1	0.466
PECAM1	0.469
PECAM1	0.469
NLRX1	0.469
NLRX1	0.469
IL22	0.473
IL22	0.473
PSMB9	0.474
PSMB9	0.474
CD44	0.474
CD44	0.474
GBP4	0.476
GBP4	0.476
TAB2	0.476
TAB2	0.476
AIF1	0.477
AIF1	0.477
SIGLEC1	0.478
SIGLEC1	0.478
TNFAIP3	0.479
TNFAIP3	0.479
MB21D1	0.48
MB21D1	0.48
AKT1	0.48
AKT1	0.48
AIM2	0.481
AIM2	0.481
NCAM1	0.482
NCAM1	0.482
FCGR1A	0.486
FCGR1A	0.486
FCGR2B	0.49
FCGR2B	0.49
NFATC1	0.491
NFATC1	0.491
MXI1	0.492
MXI1	0.492
ENSG00000255819	0.496
ENSG00000255819	0.496
LCN2	0.496
LCN2	0.496
MMP12	0.499
MMP12	0.499
PDCD1LG2	0.499
PDCD1LG2	0.499
CD1C	0.499
CD1C	0.499
CXCL17	0.501
CXCL17	0.501
FASLG	0.504
FASLG	0.504
CCL14	0.509
CCL14	0.509
INS	0.51
INS	0.51
NOS2	0.511
NOS2	0.511
IFNL2	0.511
IFNL2	0.511
IRF5	0.511
IRF5	0.511
MAVS	0.519
MAVS	0.519
SOCS3	0.523
SOCS3	0.523
ARG1	0.524
ARG1	0.524
IFI6	0.529
IFI6	0.529
NELFCD	0.53
NELFCD	0.53
DDX60	0.531
DDX60	0.531
DDX41	0.532
DDX41	0.532
CD28	0.534
CD28	0.534
IFITM1	0.535
IFITM1	0.535
CD19	0.535
CD19	0.535
IL17F	0.536
IL17F	0.536
NLRP3	0.538
NLRP3	0.538
CCL15	0.542
CCL15	0.542
LTA	0.544
LTA	0.544
ACKR2	0.544
ACKR2	0.544
CD83	0.545
CD83	0.545
IFI35	0.546
IFI35	0.546
TNFRSF1B	0.548
TNFRSF1B	0.548
IL1R1	0.552
IL1R1	0.552
IFNL1	0.559
IFNL1	0.559
SRC	0.56
SRC	0.56
SOCS1	0.561
SOCS1	0.561
MRC1	0.563
MRC1	0.563
SELE	0.565
SELE	0.565
IRG1	0.565
IRG1	0.565
ERVW-1	0.568
ERVW-1	0.568
IFI27	0.571
IFI27	0.571
PTGS2	0.572
PTGS2	0.572
CCL23	0.577
CCL23	0.577
ISG20	0.579
ISG20	0.579
DPP4	0.581
DPP4	0.581
TNFSF13B	0.584
TNFSF13B	0.584
IFNL3	0.587
IFNL3	0.587
CD40LG	0.588
CD40LG	0.588
IL2RA	0.589
IL2RA	0.589
CCL3L3	0.592
CCL3L3	0.592
IRF9	0.596
IRF9	0.596
CD163	0.598
CD163	0.598
CXCL14	0.602
CXCL14	0.602
PRF1	0.605
PRF1	0.605
GBP2	0.613
GBP2	0.613
TLR10	0.614
TLR10	0.614
PTPRC	0.617
PTPRC	0.617
TLR6	0.622
TLR6	0.622
STAT2	0.628
STAT2	0.628
CASP1	0.636
CASP1	0.636
TLR5	0.638
TLR5	0.638
IFNA17	0.64
IFNA17	0.64
CCL26	0.644
CCL26	0.644
GPR29	0.644
GPR29	0.644
MX2	0.649
MX2	0.649
IFNA21	0.65
IFNA21	0.65
FOXP3	0.654
FOXP3	0.654
ITGAX	0.659
ITGAX	0.659
ENSG00000173366	0.662
ENSG00000173366	0.662
IFI44	0.668
IFI44	0.668
CCL24	0.668
CCL24	0.668
JAK2	0.67
JAK2	0.67
CSF1	0.671
CSF1	0.671
CD40	0.676
CD40	0.676
CCL18	0.68
CCL18	0.68
TLR9	0.683
TLR9	0.683
TLR1	0.683
TLR1	0.683
CCRL2	0.691
CCRL2	0.691
TLR7	0.692
TLR7	0.692
MYD88	0.693
MYD88	0.693
STAT4	0.696
STAT4	0.696
MAPK8	0.698
MAPK8	0.698
IFNA2	0.7
IFNA2	0.7
TLR8	0.701
TLR8	0.701
ITGAM	0.702
ITGAM	0.702
CD274	0.702
CD274	0.702
IL33	0.706
IL33	0.706
OAS1	0.709
OAS1	0.709
IFI44L	0.719
IFI44L	0.719
TBK1	0.72
TBK1	0.72
VEGFA	0.722
VEGFA	0.722
CD86	0.723
CD86	0.723
XCR1	0.741
XCR1	0.741
IDO1	0.746
IDO1	0.746
XCL1	0.747
XCL1	0.747
TNFSF11	0.758
TNFSF11	0.758
MMP9	0.769
MMP9	0.769
GBP5	0.791
GBP5	0.791
IRF3	0.797
IRF3	0.797
OAS2	0.799
OAS2	0.799
IFIT1	0.802
IFIT1	0.802
MX1	0.811
MX1	0.811
CCL7	0.814
CCL7	0.814
RSAD2	0.826
RSAD2	0.826
IFNB1	0.836
IFNB1	0.836
TLR4	0.84
TLR4	0.84
CMKBR6	0.851
CMKBR6	0.851
IFIT2	0.854
IFIT2	0.854
IFIT3	0.868
IFIT3	0.868
DDX58	0.87
DDX58	0.87
ISG15	0.872
ISG15	0.872
IL17A	0.873
IL17A	0.873
TNF	0.88
TNF	0.88
IRF7	0.883
IRF7	0.883
IL6	0.884
IL6	0.884
TAS2R42	0.9
TAS2R42	0.9
GNG5	0.9
GNG5	0.9
TAS2R19	0.9
TAS2R19	0.9
NPY5R	0.9
NPY5R	0.9
PDYN	0.9
PDYN	0.9
HTR1A	0.9
HTR1A	0.9
GNAI2	0.9
GNAI2	0.9
NPY1R	0.9
NPY1R	0.9
TAS2R30	0.9
TAS2R30	0.9
SSTR2	0.9
SSTR2	0.9
CHRM4	0.9
CHRM4	0.9
RXFP4	0.9
RXFP4	0.9
TAS2R40	0.9
TAS2R40	0.9
ADRA2C	0.9
ADRA2C	0.9
GRM3	0.9
GRM3	0.9
