interactor	score
OLIG1	0.456
OLIG1	0.456
GATA6	0.457
GATA6	0.457
COL2A1	0.457
COL2A1	0.457
NPNT	0.458
NPNT	0.458
CDC42	0.459
CDC42	0.459
SEMA3A	0.46
SEMA3A	0.46
DNASE1	0.46
DNASE1	0.46
JHDM3C	0.462
JHDM3C	0.462
CSPG4	0.462
CSPG4	0.462
JMJD2C	0.462
JMJD2C	0.462
SLC1A3	0.464
SLC1A3	0.464
IGFBP3	0.464
IGFBP3	0.464
ETS1	0.464
ETS1	0.464
TIMP3	0.465
TIMP3	0.465
MIXL1	0.468
MIXL1	0.468
HES5	0.469
HES5	0.469
CDKN2A	0.471
CDKN2A	0.471
CHAT	0.471
CHAT	0.471
PDGFC	0.473
PDGFC	0.473
EIF2AK3	0.473
EIF2AK3	0.473
CCL4	0.473
CCL4	0.473
CXCL9	0.473
CXCL9	0.473
CDKN1A	0.473
CDKN1A	0.473
ID3	0.474
ID3	0.474
HNF4A	0.474
HNF4A	0.474
PTCH1	0.474
PTCH1	0.474
AGER	0.474
AGER	0.474
GSK3B	0.477
GSK3B	0.477
PAX2	0.477
PAX2	0.477
SMAD3	0.477
SMAD3	0.477
CCL7	0.477
CCL7	0.477
WNT4	0.479
WNT4	0.479
MTOR	0.479
MTOR	0.479
C1S	0.479
C1S	0.479
BCL2L1	0.48
BCL2L1	0.48
HES3	0.48
HES3	0.48
F2	0.481
F2	0.481
FSCN1	0.482
FSCN1	0.482
MMP16	0.482
MMP16	0.482
PLAUR	0.485
PLAUR	0.485
MSX1	0.486
MSX1	0.486
WNT7A	0.486
WNT7A	0.486
PRMT1	0.487
PRMT1	0.487
LUM	0.488
LUM	0.488
CORT	0.491
CORT	0.491
TGFBR1	0.492
TGFBR1	0.492
GOLPH3	0.492
GOLPH3	0.492
SOCS1	0.493
SOCS1	0.493
PTK2	0.494
PTK2	0.494
MDK	0.494
MDK	0.494
IL11	0.495
IL11	0.495
ESR1	0.496
ESR1	0.496
POTEF	0.498
POTEF	0.498
PTN	0.499
PTN	0.499
BMP6	0.499
BMP6	0.499
BMI1	0.5
BMI1	0.5
ENSG00000269897	0.5
ENSG00000269897	0.5
RPL6	0.5
RPL6	0.5
AGT	0.501
AGT	0.501
ADAMTS1	0.502
ADAMTS1	0.502
ACTG1	0.502
ACTG1	0.502
TNC	0.503
TNC	0.503
LHCGR	0.503
LHCGR	0.503
SPRY1	0.505
SPRY1	0.505
WNT2B	0.507
WNT2B	0.507
T	0.507
T	0.507
