interactor	score
MX2	0.391
MX2	0.391
NR3C1	0.392
NR3C1	0.392
HIST2H2BE	0.392
HIST2H2BE	0.392
SH2D1A	0.393
SH2D1A	0.393
UNK	0.395
UNK	0.395
ITGA2	0.395
ITGA2	0.395
TNFSF9	0.397
TNFSF9	0.397
CYCS	0.398
CYCS	0.398
CCL21	0.398
CCL21	0.398
HSPA4	0.398
HSPA4	0.398
IFNL2	0.398
IFNL2	0.398
ENSG00000264813	0.398
ENSG00000264813	0.398
IFIT1	0.398
IFIT1	0.398
ERVV-1	0.398
ERVV-1	0.398
UBD	0.398
UBD	0.398
TNFRSF8	0.398
TNFRSF8	0.398
ACE	0.398
ACE	0.398
BATF	0.399
BATF	0.399
GBP5	0.399
GBP5	0.399
PPBP	0.399
PPBP	0.399
PRDM1	0.399
PRDM1	0.399
IFI30	0.4
IFI30	0.4
SERPINB9	0.4
SERPINB9	0.4
CD14	0.4
CD14	0.4
MICA	0.4
MICA	0.4
IL17RA	0.4
IL17RA	0.4
TFRC	0.4
TFRC	0.4
IRF2	0.401
IRF2	0.401
TRAF3	0.401
TRAF3	0.401
POU4F2	0.401
POU4F2	0.401
HLA-C	0.401
HLA-C	0.401
POMC	0.402
POMC	0.402
KIT	0.402
KIT	0.402
HLA-E	0.404
HLA-E	0.404
TCHH	0.404
TCHH	0.404
RUNX3	0.405
RUNX3	0.405
GBP3	0.405
GBP3	0.405
KIR2DL1	0.406
KIR2DL1	0.406
MAF	0.406
MAF	0.406
BCL2L1	0.406
BCL2L1	0.406
TGFA	0.407
TGFA	0.407
MMP1	0.408
MMP1	0.408
CXCR2	0.408
CXCR2	0.408
NCR2	0.41
NCR2	0.41
CLEC7A	0.411
CLEC7A	0.411
ICOS	0.416
ICOS	0.416
F3	0.416
F3	0.416
KLRC2	0.417
KLRC2	0.417
HPRT1	0.417
HPRT1	0.417
IRF9	0.417
IRF9	0.417
AQP1	0.417
AQP1	0.417
TNFSF4	0.418
TNFSF4	0.418
BDNF	0.419
BDNF	0.419
JAK3	0.42
JAK3	0.42
ADIPOQ	0.42
ADIPOQ	0.42
LCK	0.421
LCK	0.421
HLA-G	0.422
HLA-G	0.422
PRL	0.422
PRL	0.422
OAS1	0.423
OAS1	0.423
IL19	0.423
IL19	0.423
PSMB5	0.423
PSMB5	0.423
HP	0.423
HP	0.423
NFATC1	0.424
NFATC1	0.424
ERVW-1	0.424
ERVW-1	0.424
MMP3	0.424
MMP3	0.424
ERBB2	0.426
ERBB2	0.426
CYBB	0.427
CYBB	0.427
PECAM1	0.428
PECAM1	0.428
ITIH4	0.428
ITIH4	0.428
KIR2DL3	0.429
KIR2DL3	0.429
CD1A	0.429
CD1A	0.429
LTB	0.429
LTB	0.429
TET2	0.43
TET2	0.43
AIF1	0.432
AIF1	0.432
SERPINB6	0.432
SERPINB6	0.432
IL18RAP	0.432
IL18RAP	0.432
IFIT2	0.434
IFIT2	0.434
SCARF1	0.434
SCARF1	0.434
VDR	0.434
VDR	0.434
HLA-B	0.434
HLA-B	0.434
RARA	0.436
RARA	0.436
GBP2	0.438
GBP2	0.438
HMGB1	0.439
HMGB1	0.439
TYK2	0.439
TYK2	0.439
ITGA4	0.44
ITGA4	0.44
IFNL1	0.44
IFNL1	0.44
IFNA13	0.441
IFNA13	0.441
HLA-DQB1	0.441
HLA-DQB1	0.441
CX3CR1	0.443
CX3CR1	0.443
FOS	0.445
FOS	0.445
TBXAS1	0.445
TBXAS1	0.445
IL12B	0.446
IL12B	0.446
TSLP	0.447
TSLP	0.447
IL16	0.447
IL16	0.447
TGFB2	0.447
TGFB2	0.447
RAG2	0.448
RAG2	0.448
CD1E	0.448
CD1E	0.448
MYC	0.448
MYC	0.448
MAVS	0.449
MAVS	0.449
PPARG	0.449
PPARG	0.449
CDKN2B	0.451
CDKN2B	0.451
NOS3	0.451
NOS3	0.451
IL11	0.452
IL11	0.452
HSPD1	0.453
HSPD1	0.453
GPR132	0.453
GPR132	0.453
IGFBP2	0.453
IGFBP2	0.453
PSMB10	0.454
PSMB10	0.454
CCL19	0.456
CCL19	0.456
APOE	0.456
APOE	0.456
CD5	0.456
CD5	0.456
KLRG1	0.458
KLRG1	0.458
ITGAE	0.46
ITGAE	0.46
CCR3	0.46
CCR3	0.46
PMEL	0.46
PMEL	0.46
SERPINH1	0.462
SERPINH1	0.462
TNFRSF18	0.463
TNFRSF18	0.463
HLA-DRB1	0.463
HLA-DRB1	0.463
NLRP3	0.465
NLRP3	0.465
NCR3	0.466
NCR3	0.466
TNFSF10	0.466
TNFSF10	0.466
CXCR5	0.466
CXCR5	0.466
FGL2	0.468
FGL2	0.468
CD1B	0.47
CD1B	0.47
RAG1	0.472
RAG1	0.472
S100B	0.473
S100B	0.473
EPO	0.473
EPO	0.473
SLAMF1	0.473
SLAMF1	0.473
LIF	0.473
LIF	0.473
CISH	0.474
CISH	0.474
FCGR2A	0.474
FCGR2A	0.474
TNFSF11	0.474
TNFSF11	0.474
PDIA3	0.475
PDIA3	0.475
CXCL3	0.476
CXCL3	0.476
CD58	0.477
CD58	0.477
IRF4	0.479
IRF4	0.479
CD247	0.479
CD247	0.479
CAT	0.48
CAT	0.48
CD163	0.48
CD163	0.48
MAPK3	0.481
MAPK3	0.481
GBP1	0.481
GBP1	0.481
CCL8	0.482
CCL8	0.482
CCR1	0.484
CCR1	0.484
SLC11A1	0.484
SLC11A1	0.484
IGF1	0.485
IGF1	0.485
ANXA5	0.485
ANXA5	0.485
IL36G	0.486
IL36G	0.486
MRC1	0.488
MRC1	0.488
MMP14	0.491
MMP14	0.491
NOX1	0.491
NOX1	0.491
NPSR1	0.491
NPSR1	0.491
PML	0.491
PML	0.491
STAT2	0.493
STAT2	0.493
LGALS9	0.493
LGALS9	0.493
IL37	0.493
IL37	0.493
FCGR2B	0.494
FCGR2B	0.494
ACTB	0.496
ACTB	0.496
CD1C	0.496
CD1C	0.496
XCL1	0.497
XCL1	0.497
GNLY	0.499
GNLY	0.499
CD3E	0.5
CD3E	0.5
HLA-DQA1	0.5
HLA-DQA1	0.5
LEP	0.501
LEP	0.501
CXCL13	0.504
CXCL13	0.504
SERPINB1	0.506
SERPINB1	0.506
STAT5B	0.507
STAT5B	0.507
KLRC1	0.507
KLRC1	0.507
SH2D3A	0.508
SH2D3A	0.508
SOD3	0.509
SOD3	0.509
THY1	0.509
THY1	0.509
LPL	0.509
LPL	0.509
CFH	0.509
CFH	0.509
ITGAL	0.51
ITGAL	0.51
SPP1	0.51
SPP1	0.51
IFNL3	0.51
IFNL3	0.51
CXCL12	0.511
CXCL12	0.511
NFIC	0.511
NFIC	0.511
PDE6B	0.511
PDE6B	0.511
HSPB2	0.512
HSPB2	0.512
CD34	0.512
CD34	0.512
B3GAT1	0.513
B3GAT1	0.513
BMP6	0.514
BMP6	0.514
NGF	0.515
NGF	0.515
RIPK1	0.516
RIPK1	0.516
SECTM1	0.516
SECTM1	0.516
MAPK8	0.517
MAPK8	0.517
STX11	0.517
STX11	0.517
IL36RN	0.517
IL36RN	0.517
HSPB3	0.518
HSPB3	0.518
EMR1	0.519
EMR1	0.519
ISG15	0.52
ISG15	0.52
IL1R1	0.524
IL1R1	0.524
KLRB1	0.524
KLRB1	0.524
CD276	0.524
CD276	0.524
HSPB1	0.524
HSPB1	0.524
ITPKB	0.524
ITPKB	0.524
CCRL2	0.525
CCRL2	0.525
IL36A	0.528
IL36A	0.528
ARG1	0.529
ARG1	0.529
RPL13A	0.529
RPL13A	0.529
AKT1	0.53
AKT1	0.53
BCL6	0.531
BCL6	0.531
HLA-A	0.532
HLA-A	0.532
CXCL16	0.532
CXCL16	0.532
ADA	0.534
ADA	0.534
PDCD1LG2	0.535
PDCD1LG2	0.535
TNFSF13B	0.536
TNFSF13B	0.536
CASP3	0.538
CASP3	0.538
IL12A	0.541
IL12A	0.541
A2M	0.542
A2M	0.542
ANGPT2	0.542
ANGPT2	0.542
IGF2	0.543
IGF2	0.543
PSMB9	0.544
PSMB9	0.544
HAND2	0.545
HAND2	0.545
IFIH1	0.546
IFIH1	0.546
IRF7	0.548
IRF7	0.548
HAVCR2	0.549
HAVCR2	0.549
GATA2	0.549
GATA2	0.549
CCR2	0.55
CCR2	0.55
CCL7	0.55
CCL7	0.55
TIMP2	0.551
TIMP2	0.551
NCR1	0.551
NCR1	0.551
CTCF	0.552
CTCF	0.552
CD83	0.554
CD83	0.554
GTPBP2	0.555
GTPBP2	0.555
GP5	0.555
GP5	0.555
PSMB8	0.555
PSMB8	0.555
SERPINB3	0.556
SERPINB3	0.556
KLRD1	0.557
KLRD1	0.557
MBP	0.557
MBP	0.557
CD59	0.557
CD59	0.557
IL36B	0.558
IL36B	0.558
GPT	0.559
GPT	0.559
IL1F10	0.559
IL1F10	0.559
EGF	0.559
EGF	0.559
CD68	0.559
CD68	0.559
GAPDH	0.563
GAPDH	0.563
TNFRSF9	0.564
TNFRSF9	0.564
APOBEC3G	0.565
APOBEC3G	0.565
CD1D	0.565
CD1D	0.565
MKI67	0.566
MKI67	0.566
LAMP1	0.566
LAMP1	0.566
GPR29	0.567
GPR29	0.567
CREB1	0.568
CREB1	0.568
HIST2H3PS2	0.569
HIST2H3PS2	0.569
IRF3	0.571
IRF3	0.571
B2M	0.571
B2M	0.571
IL18R1	0.574
IL18R1	0.574
DEFB4A	0.574
DEFB4A	0.574
TLR10	0.575
TLR10	0.575
DDX41	0.575
DDX41	0.575
CMKBR6	0.576
CMKBR6	0.576
CD27	0.576
CD27	0.576
RORC	0.577
RORC	0.577
TLR5	0.579
TLR5	0.579
FAS	0.58
FAS	0.58
CXCL2	0.581
CXCL2	0.581
MOG	0.581
MOG	0.581
TP53	0.582
TP53	0.582
ENSG00000173366	0.585
ENSG00000173366	0.585
CASP1	0.588
CASP1	0.588
CFI	0.588
CFI	0.588
TLR8	0.591
TLR8	0.591
GZMA	0.592
GZMA	0.592
TNFRSF1B	0.592
TNFRSF1B	0.592
PTGS2	0.594
PTGS2	0.594
MYD88	0.595
MYD88	0.595
CD44	0.596
CD44	0.596
NOTCH1	0.597
NOTCH1	0.597
IDO2	0.597
IDO2	0.597
CEBPB	0.598
CEBPB	0.598
IRF8	0.599
IRF8	0.599
MAPK14	0.603
MAPK14	0.603
PDCD1	0.605
PDCD1	0.605
IFNA17	0.609
IFNA17	0.609
CXCL5	0.613
CXCL5	0.613
IL17F	0.616
IL17F	0.616
TLR7	0.618
TLR7	0.618
CD2	0.618
CD2	0.618
NOD2	0.619
NOD2	0.619
IL1RN	0.62
IL1RN	0.62
IFNA21	0.621
IFNA21	0.621
MX1	0.622
MX1	0.622
MUC1	0.625
MUC1	0.625
SERPINB7	0.626
SERPINB7	0.626
CCL20	0.628
CCL20	0.628
CCR7	0.628
CCR7	0.628
FCGR1A	0.628
FCGR1A	0.628
IL22	0.629
IL22	0.629
IL33	0.629
IL33	0.629
CD19	0.63
CD19	0.63
INS	0.631
INS	0.631
EOMES	0.631
EOMES	0.631
KLRK1	0.632
KLRK1	0.632
TLR6	0.633
TLR6	0.633
GHR	0.636
GHR	0.636
ENSG00000255819	0.64
ENSG00000255819	0.64
IL9	0.641
IL9	0.641
IFNA2	0.641
IFNA2	0.641
IL20RB	0.643
IL20RB	0.643
TNFRSF4	0.644
TNFRSF4	0.644
CXCR6	0.649
CXCR6	0.649
TLR1	0.65
TLR1	0.65
NCAM1	0.651
NCAM1	0.651
CSF2RB	0.652
CSF2RB	0.652
IL18BP	0.652
IL18BP	0.652
ITGAX	0.654
ITGAX	0.654
ALB	0.657
ALB	0.657
IL5RA	0.659
IL5RA	0.659
SELP	0.659
SELP	0.659
PTPRC	0.659
PTPRC	0.659
HLA-DRA	0.66
HLA-DRA	0.66
CNTFR	0.66
CNTFR	0.66
MPL	0.661
MPL	0.661
IL11RA	0.661
IL11RA	0.661
PDGFRA	0.661
PDGFRA	0.661
IFNLR1	0.661
IFNLR1	0.661
IL20RA	0.664
IL20RA	0.664
IL22RA2	0.665
IL22RA2	0.665
CXCL1	0.666
CXCL1	0.666
CD8A	0.666
CD8A	0.666
TLR9	0.669
TLR9	0.669
VEGFA	0.669
VEGFA	0.669
CSF2RA	0.67
CSF2RA	0.67
TLR3	0.672
TLR3	0.672
CXCR4	0.672
CXCR4	0.672
CRLF2	0.672
CRLF2	0.672
PRLR	0.675
PRLR	0.675
CRP	0.676
CRP	0.676
LIFR	0.679
LIFR	0.679
ZNF740	0.68
ZNF740	0.68
SERPINB2	0.683
SERPINB2	0.683
VCAM1	0.684
VCAM1	0.684
PDGFRB	0.684
PDGFRB	0.684
CCL11	0.685
CCL11	0.685
LEPR	0.686
LEPR	0.686
IL9R	0.687
IL9R	0.687
OSMR	0.688
OSMR	0.688
SERPINB8	0.691
SERPINB8	0.691
SERPINB5	0.691
SERPINB5	0.691
CSF3R	0.691
CSF3R	0.691
IL22RA1	0.693
IL22RA1	0.693
NFATC2	0.693
NFATC2	0.693
CASP8	0.694
CASP8	0.694
FN1	0.695
FN1	0.695
CCL4L1	0.696
CCL4L1	0.696
NELFCD	0.702
NELFCD	0.702
ITGAM	0.703
ITGAM	0.703
CD40LG	0.703
CD40LG	0.703
BST2	0.704
BST2	0.704
IFNA1	0.705
IFNA1	0.705
FGF2	0.706
FGF2	0.706
IL13RA1	0.707
IL13RA1	0.707
IL3RA	0.711
IL3RA	0.711
IL13RA2	0.713
IL13RA2	0.713
SELE	0.713
SELE	0.713
CSF1	0.716
CSF1	0.716
IL6ST	0.722
IL6ST	0.722
IL1A	0.731
IL1A	0.731
IL10RB	0.735
IL10RB	0.735
MMP9	0.735
MMP9	0.735
IL7	0.738
IL7	0.738
IL27RA	0.742
IL27RA	0.742
CD80	0.742
CD80	0.742
TLR2	0.743
TLR2	0.743
SELL	0.748
SELL	0.748
IL21R	0.748
IL21R	0.748
IL21	0.756
IL21	0.756
IL2RG	0.765
IL2RG	0.765
