interactor	score
NLRC4	0.399
NLRC4	0.399
SRC	0.4
SRC	0.4
AIF1	0.4
AIF1	0.4
RUNX3	0.4
RUNX3	0.4
IRF5	0.4
IRF5	0.4
PTPN22	0.4
PTPN22	0.4
CASZ1	0.401
CASZ1	0.401
XCL1	0.402
XCL1	0.402
GGT1	0.408
GGT1	0.408
GGTLC3	0.409
GGTLC3	0.409
GGT2	0.409
GGT2	0.409
KLRD1	0.41
KLRD1	0.41
MUC5B	0.41
MUC5B	0.41
IFNA2	0.41
IFNA2	0.41
IL18R1	0.412
IL18R1	0.412
FCGR1A	0.416
FCGR1A	0.416
DNASE1	0.421
DNASE1	0.421
CAPN3	0.421
CAPN3	0.421
NFATC2	0.422
NFATC2	0.422
HIST2H2BE	0.423
HIST2H2BE	0.423
IRF3	0.424
IRF3	0.424
IL1F10	0.426
IL1F10	0.426
CAPN10	0.426
CAPN10	0.426
ADGB	0.426
ADGB	0.426
CAPN14	0.426
CAPN14	0.426
CCL26	0.426
CCL26	0.426
DDX58	0.429
DDX58	0.429
CAPN11	0.429
CAPN11	0.429
CAPN8	0.429
CAPN8	0.429
NNMT	0.429
NNMT	0.429
CR2	0.43
CR2	0.43
DEFB4B	0.431
DEFB4B	0.431
SERPINB1	0.433
SERPINB1	0.433
CAPN1	0.434
CAPN1	0.434
MMP12	0.434
MMP12	0.434
HLA-DRB1	0.436
HLA-DRB1	0.436
IRAK1	0.44
IRAK1	0.44
GPT	0.44
GPT	0.44
MTOR	0.44
MTOR	0.44
ADIPOQ	0.44
ADIPOQ	0.44
NGF	0.44
NGF	0.44
CD24	0.44
CD24	0.44
TNFRSF25	0.44
TNFRSF25	0.44
SDC1	0.441
SDC1	0.441
RELA	0.441
RELA	0.441
FLT3LG	0.442
FLT3LG	0.442
LGALS9	0.442
LGALS9	0.442
ACP5	0.442
ACP5	0.442
PECAM1	0.444
PECAM1	0.444
CD2	0.444
CD2	0.444
CCL18	0.445
CCL18	0.445
HIF1A	0.446
HIF1A	0.446
