interactor	score
CISH	0.446
CISH	0.446
STAT6	0.446
STAT6	0.446
PLA2G10	0.446
PLA2G10	0.446
CCL18	0.446
CCL18	0.446
ITGAL	0.447
ITGAL	0.447
HIF1A	0.447
HIF1A	0.447
AKR1C3	0.448
AKR1C3	0.448
TRAF1	0.449
TRAF1	0.449
ADAMTS13	0.449
ADAMTS13	0.449
SERPINA1	0.45
SERPINA1	0.45
HCAR2	0.452
HCAR2	0.452
IL17RA	0.452
IL17RA	0.452
CD274	0.452
CD274	0.452
MX1	0.453
MX1	0.453
NPS	0.453
NPS	0.453
AOC3	0.454
AOC3	0.454
CCL24	0.454
CCL24	0.454
COL7A1	0.454
COL7A1	0.454
TGFA	0.455
TGFA	0.455
HPRT1	0.456
HPRT1	0.456
IL1RL2	0.457
IL1RL2	0.457
CASP9	0.459
CASP9	0.459
SLC46A2	0.459
SLC46A2	0.459
CMKBR6	0.459
CMKBR6	0.459
GPR29	0.459
GPR29	0.459
PLA2G2A	0.46
PLA2G2A	0.46
C3AR1	0.461
C3AR1	0.461
HK2	0.461
HK2	0.461
CAMP	0.461
CAMP	0.461
GBP3	0.461
GBP3	0.461
CWC22	0.463
CWC22	0.463
IRF7	0.463
IRF7	0.463
CLEC4E	0.463
CLEC4E	0.463
NCF1	0.464
NCF1	0.464
CXCR3	0.465
CXCR3	0.465
POTEF	0.468
POTEF	0.468
ASPN	0.468
ASPN	0.468
ACTG1	0.468
ACTG1	0.468
NCF2	0.468
NCF2	0.468
FPR2	0.469
FPR2	0.469
MMP16	0.469
MMP16	0.469
GRIA1	0.47
GRIA1	0.47
ABCC2	0.47
ABCC2	0.47
SYK	0.472
SYK	0.472
CYCS	0.472
CYCS	0.472
PGF	0.472
PGF	0.472
IL22	0.473
IL22	0.473
CD28	0.473
CD28	0.473
TJP1	0.473
TJP1	0.473
CD34	0.473
CD34	0.473
BGLAP	0.473
BGLAP	0.473
IFNA2	0.473
IFNA2	0.473
LYN	0.475
LYN	0.475
MAP3K7	0.476
MAP3K7	0.476
C1QTNF1	0.476
C1QTNF1	0.476
MT-CO2	0.476
MT-CO2	0.476
SLC15A1	0.476
SLC15A1	0.476
TAB2	0.477
TAB2	0.477
TDO2	0.481
TDO2	0.481
C5AR1	0.481
C5AR1	0.481
THBD	0.481
THBD	0.481
GBP1	0.482
GBP1	0.482
TIRAP	0.484
TIRAP	0.484
UBE2N	0.484
UBE2N	0.484
TXNIP	0.484
TXNIP	0.484
CXCR4	0.484
CXCR4	0.484
PPT1	0.484
PPT1	0.484
PLAUR	0.485
PLAUR	0.485
CD19	0.485
CD19	0.485
FCGR2B	0.485
FCGR2B	0.485
IL18BP	0.485
IL18BP	0.485
CXCR1	0.486
CXCR1	0.486
GCH1	0.486
GCH1	0.486
IRF3	0.488
IRF3	0.488
SP1	0.489
SP1	0.489
IL7R	0.489
IL7R	0.489
IFIH1	0.49
IFIH1	0.49
CARD8	0.491
CARD8	0.491
CFLAR	0.491
CFLAR	0.491
UCHL1	0.491
UCHL1	0.491
ANXA5	0.491
ANXA5	0.491
GAD2	0.491
GAD2	0.491
DDX41	0.491
DDX41	0.491
RARB	0.491
RARB	0.491
CDH2	0.492
CDH2	0.492
CARD17	0.492
CARD17	0.492
GBP2	0.494
GBP2	0.494
CXCL13	0.494
CXCL13	0.494
GSTA1	0.494
GSTA1	0.494
SHH	0.497
SHH	0.497
AGER	0.5
AGER	0.5
TNFAIP2	0.502
TNFAIP2	0.502
SARM1	0.504
SARM1	0.504
PPP1R14A	0.506
PPP1R14A	0.506
CSF1R	0.506
CSF1R	0.506
TNFRSF9	0.507
TNFRSF9	0.507
FGF13	0.507
FGF13	0.507
NEFL	0.507
NEFL	0.507
PLD1	0.508
PLD1	0.508
ALOX5	0.508
ALOX5	0.508
S100A9	0.509
S100A9	0.509
FCGR2A	0.509
FCGR2A	0.509
IDO1	0.509
IDO1	0.509
IL4R	0.509
IL4R	0.509
FASLG	0.51
FASLG	0.51
IVD	0.51
IVD	0.51
ANGPTL4	0.51
ANGPTL4	0.51
EDA	0.511
EDA	0.511
PLA2G1B	0.511
PLA2G1B	0.511
B2M	0.511
B2M	0.511
PENK	0.511
PENK	0.511
SLC26A3	0.512
SLC26A3	0.512
TP53	0.514
TP53	0.514
CTLA4	0.514
CTLA4	0.514
PTGDS	0.514
PTGDS	0.514
GSDMD	0.515
GSDMD	0.515
MUC4	0.518
MUC4	0.518
IGF1R	0.518
IGF1R	0.518
SOD1	0.518
SOD1	0.518
NLRP10	0.519
NLRP10	0.519
ITGA6	0.519
ITGA6	0.519
MMP12	0.52
MMP12	0.52
HP	0.521
HP	0.521
NFKBIZ	0.521
NFKBIZ	0.521
SLC11A2	0.524
SLC11A2	0.524
MMP10	0.528
MMP10	0.528
F2RL1	0.528
F2RL1	0.528
SERPINB2	0.528
SERPINB2	0.528
PLG	0.529
PLG	0.529
FIGF	0.53
FIGF	0.53
XPO1	0.532
XPO1	0.532
BMP6	0.532
BMP6	0.532
ITPKB	0.533
ITPKB	0.533
PECAM1	0.534
PECAM1	0.534
CXCL12	0.536
CXCL12	0.536
CX3CR1	0.536
CX3CR1	0.536
IL34	0.536
IL34	0.536
LY96	0.538
LY96	0.538
HLA-G	0.539
HLA-G	0.539
EMR1	0.539
EMR1	0.539
CD14	0.539
CD14	0.539
LITAF	0.539
LITAF	0.539
ACP5	0.539
ACP5	0.539
S100A12	0.54
S100A12	0.54
HPGD	0.541
HPGD	0.541
IL17F	0.542
IL17F	0.542
GLUL	0.543
GLUL	0.543
PGR	0.543
PGR	0.543
MAPK8IP2	0.544
MAPK8IP2	0.544
REL	0.545
REL	0.545
HNF4A	0.546
HNF4A	0.546
NFE2L2	0.547
NFE2L2	0.547
CCR1	0.548
CCR1	0.548
MMP17	0.549
MMP17	0.549
IL16	0.549
IL16	0.549
SDC4	0.55
SDC4	0.55
F3	0.551
F3	0.551
SAA1	0.553
SAA1	0.553
ELANE	0.553
ELANE	0.553
CD163	0.553
CD163	0.553
TGFBR2	0.554
TGFBR2	0.554
DNTT	0.554
DNTT	0.554
TGFB2	0.554
TGFB2	0.554
PTHLH	0.555
PTHLH	0.555
KNG1	0.556
KNG1	0.556
CCR5	0.556
CCR5	0.556
TAC1	0.556
TAC1	0.556
GNRH1	0.558
GNRH1	0.558
FCGR1A	0.558
FCGR1A	0.558
