interactor	score
LPIN1	0.246
LPIN1	0.246
PRF1	0.246
PRF1	0.246
MMP10	0.246
MMP10	0.246
ITGAL	0.247
ITGAL	0.247
BIRC3	0.247
BIRC3	0.247
EMR1	0.248
EMR1	0.248
TNFSF13	0.248
TNFSF13	0.248
IFNA1	0.248
IFNA1	0.248
LCP1	0.249
LCP1	0.249
TNIP3	0.249
TNIP3	0.249
MRAP	0.25
MRAP	0.25
PTH	0.25
PTH	0.25
PIK3CG	0.25
PIK3CG	0.25
IFNGR2	0.25
IFNGR2	0.25
TNFRSF25	0.25
TNFRSF25	0.25
TNFRSF8	0.25
TNFRSF8	0.25
TIMP3	0.251
TIMP3	0.251
MARCO	0.251
MARCO	0.251
LILRB4	0.251
LILRB4	0.251
CASP4	0.251
CASP4	0.251
MGMT	0.251
MGMT	0.251
CKAP2L	0.251
CKAP2L	0.251
PLAU	0.252
PLAU	0.252
PTPN2	0.252
PTPN2	0.252
MPEG1	0.252
MPEG1	0.252
IFNAR1	0.252
IFNAR1	0.252
HLA-DRA	0.252
HLA-DRA	0.252
CLEC3B	0.252
CLEC3B	0.252
CAMP	0.253
CAMP	0.253
NEDD4L	0.254
NEDD4L	0.254
SH2D1A	0.254
SH2D1A	0.254
DEFB4B	0.254
DEFB4B	0.254
IGSF6	0.255
IGSF6	0.255
CLEC6A	0.255
CLEC6A	0.255
IRF8	0.256
IRF8	0.256
NOS1	0.256
NOS1	0.256
MBTPS1	0.258
MBTPS1	0.258
CD2	0.258
CD2	0.258
BDNF	0.258
BDNF	0.258
HCK	0.258
HCK	0.258
CD1B	0.258
CD1B	0.258
CFB	0.261
CFB	0.261
CASP8	0.261
CASP8	0.261
AOAH	0.261
AOAH	0.261
PDZK1IP1	0.261
PDZK1IP1	0.261
CD1E	0.261
CD1E	0.261
IRF5	0.262
IRF5	0.262
GP1BA	0.262
GP1BA	0.262
FGA	0.263
FGA	0.263
CD3D	0.264
CD3D	0.264
RNASE6	0.264
RNASE6	0.264
IGFBP3	0.264
IGFBP3	0.264
ISG15	0.265
ISG15	0.265
C5AR1	0.265
C5AR1	0.265
CARD14	0.265
CARD14	0.265
JAK2	0.265
JAK2	0.265
ADAM33	0.265
ADAM33	0.265
TP53	0.266
TP53	0.266
ATF3	0.266
ATF3	0.266
FGG	0.266
FGG	0.266
FASLG	0.267
FASLG	0.267
PTPN6	0.267
PTPN6	0.267
CCR3	0.267
CCR3	0.267
IL12RB2	0.267
IL12RB2	0.267
THBD	0.267
THBD	0.267
PPARG	0.267
PPARG	0.267
GSTM1	0.268
GSTM1	0.268
HLA-C	0.268
HLA-C	0.268
HLA-B	0.268
HLA-B	0.268
PLG	0.269
PLG	0.269
IFI44	0.269
IFI44	0.269
ATN1	0.27
ATN1	0.27
CD19	0.27
CD19	0.27
F2RL2	0.27
F2RL2	0.27
COMT	0.27
COMT	0.27
CD52	0.27
CD52	0.27
SECTM1	0.27
SECTM1	0.27
ORM1	0.271
ORM1	0.271
STAT6	0.271
STAT6	0.271
CSF1R	0.271
CSF1R	0.271
MS4A4A	0.271
MS4A4A	0.271
SERPINB1	0.271
SERPINB1	0.271
DDX58	0.272
DDX58	0.272
CMKBR6	0.272
CMKBR6	0.272
GPR29	0.272
GPR29	0.272
IFI16	0.273
IFI16	0.273
CD3E	0.273
CD3E	0.273
ALOX5	0.273
ALOX5	0.273
CD1D	0.273
CD1D	0.273
CLEC12A	0.274
CLEC12A	0.274
SFTPC	0.274
SFTPC	0.274
GJA1	0.275
GJA1	0.275
FOSL1	0.278
FOSL1	0.278
IFIT2	0.278
IFIT2	0.278
ADAMTS3	0.278
ADAMTS3	0.278
MCEMP1	0.279
MCEMP1	0.279
CXCR4	0.279
CXCR4	0.279
MX2	0.28
MX2	0.28
CD300LF	0.28
CD300LF	0.28
FGF7	0.281
FGF7	0.281
PIGN	0.282
PIGN	0.282
CD46	0.282
CD46	0.282
SIGLEC9	0.282
SIGLEC9	0.282
GPSM1	0.282
GPSM1	0.282
VDR	0.283
VDR	0.283
PTGES	0.283
PTGES	0.283
ADAM8	0.283
ADAM8	0.283
STAT4	0.284
STAT4	0.284
VWF	0.284
VWF	0.284
CD44	0.285
CD44	0.285
ADAMTS4	0.285
ADAMTS4	0.285
C1QA	0.285
C1QA	0.285
FGFBP1	0.286
FGFBP1	0.286
MSR1	0.287
MSR1	0.287
TNFRSF4	0.287
TNFRSF4	0.287
TXNIP	0.287
TXNIP	0.287
OAS2	0.288
OAS2	0.288
IFIT1	0.288
IFIT1	0.288
CD28	0.289
CD28	0.289
NKX2-3	0.29
NKX2-3	0.29
CASP9	0.29
CASP9	0.29
MBTPS2	0.29
MBTPS2	0.29
SLC9A4	0.29
SLC9A4	0.29
ELN	0.29
ELN	0.29
PLA2G10	0.29
PLA2G10	0.29
LDB3	0.29
LDB3	0.29
SLPI	0.292
SLPI	0.292
IL32	0.292
IL32	0.292
NLRP6	0.292
NLRP6	0.292
ELANE	0.292
ELANE	0.292
ACAN	0.292
ACAN	0.292
PTGER4	0.292
PTGER4	0.292
NOS2	0.294
NOS2	0.294
SDCCAG3	0.294
SDCCAG3	0.294
FN1	0.294
FN1	0.294
CCL24	0.296
CCL24	0.296
NGF	0.296
NGF	0.296
CD1C	0.296
CD1C	0.296
LTB	0.296
LTB	0.296
HMGB1	0.297
