interactor	score
FLCN	0.472
FLCN	0.472
CREBBP	0.472
CREBBP	0.472
LMNA	0.472
LMNA	0.472
NR3C1	0.473
NR3C1	0.473
MSR1	0.473
MSR1	0.473
PECAM1	0.473
PECAM1	0.473
SPP1	0.473
SPP1	0.473
A2M	0.473
A2M	0.473
VDR	0.473
VDR	0.473
TFRC	0.473
TFRC	0.473
CD70	0.473
CD70	0.473
GPT	0.475
GPT	0.475
AHR	0.477
AHR	0.477
CAPN14	0.477
CAPN14	0.477
ITK	0.477
ITK	0.477
CD8A	0.477
CD8A	0.477
CD24	0.477
CD24	0.477
ADIPOQ	0.478
ADIPOQ	0.478
AIF1	0.479
AIF1	0.479
TXLNA	0.48
TXLNA	0.48
ITIH4	0.48
ITIH4	0.48
KLF13	0.48
KLF13	0.48
RICTOR	0.48
RICTOR	0.48
REL	0.48
REL	0.48
CD33	0.482
CD33	0.482
GABRR3	0.483
GABRR3	0.483
RNASE2	0.483
RNASE2	0.483
SERPINB1	0.483
SERPINB1	0.483
CHIA	0.484
CHIA	0.484
ITGA4	0.491
ITGA4	0.491
SRC	0.491
SRC	0.491
LEF1	0.491
LEF1	0.491
APOE	0.491
APOE	0.491
IGHV4-38-2	0.491
IGHV4-38-2	0.491
EPO	0.491
EPO	0.491
SLAMF1	0.491
SLAMF1	0.491
ENTPD1	0.492
ENTPD1	0.492
TRAF6	0.493
TRAF6	0.493
HMGB1	0.495
HMGB1	0.495
PDLIM7	0.497
PDLIM7	0.497
CAMP	0.497
CAMP	0.497
DOCK10	0.497
DOCK10	0.497
VSIG4	0.497
VSIG4	0.497
STAT2	0.498
STAT2	0.498
ACTB	0.499
ACTB	0.499
CYSLTR1	0.499
CYSLTR1	0.499
CDH5	0.5
CDH5	0.5
ITGA2	0.5
ITGA2	0.5
MMP3	0.5
MMP3	0.5
ICOS	0.501
ICOS	0.501
CP	0.501
CP	0.501
LAMP1	0.501
LAMP1	0.501
KLK4	0.507
KLK4	0.507
C5AR2	0.509
C5AR2	0.509
CD58	0.51
CD58	0.51
NOD2	0.51
NOD2	0.51
HIST2H2BE	0.511
HIST2H2BE	0.511
BCL2L1	0.511
BCL2L1	0.511
DCT	0.511
DCT	0.511
HSD3B1	0.511
HSD3B1	0.511
DDIT3	0.512
DDIT3	0.512
POSTN	0.517
POSTN	0.517
ZC3H12A	0.52
ZC3H12A	0.52
PARP1	0.52
PARP1	0.52
NPRL3	0.52
NPRL3	0.52
PPARG	0.52
PPARG	0.52
FAM110A	0.522
FAM110A	0.522
CD14	0.524
CD14	0.524
LIF	0.524
LIF	0.524
ODC1	0.527
ODC1	0.527
ALOX5AP	0.528
ALOX5AP	0.528
CCR1	0.528
CCR1	0.528
MUC4	0.528
MUC4	0.528
CCR8	0.528
CCR8	0.528
GAB2	0.528
GAB2	0.528
PTPN1	0.529
PTPN1	0.529
KCNN4	0.532
KCNN4	0.532
CXCR2	0.533
CXCR2	0.533
TNFRSF9	0.534
TNFRSF9	0.534
DSG3	0.534
DSG3	0.534
ITPKB	0.534
ITPKB	0.534
FUT7	0.535
FUT7	0.535
ITGAL	0.539
ITGAL	0.539
ZAP70	0.539
ZAP70	0.539
SDC1	0.539
SDC1	0.539
CD207	0.539
CD207	0.539
PLAU	0.541
PLAU	0.541
GBA	0.541
GBA	0.541
CMA1	0.541
CMA1	0.541
LCK	0.542
LCK	0.542
PRMT1	0.542
PRMT1	0.542
CD3E	0.543
CD3E	0.543
KLK3	0.543
KLK3	0.543
YY1	0.544
YY1	0.544
CASP3	0.544
CASP3	0.544
UCP1	0.544
UCP1	0.544
CCL27	0.549
CCL27	0.549
WNT5A	0.55
WNT5A	0.55
IRF1	0.553
IRF1	0.553
FLT3	0.554
FLT3	0.554
PDCD1	0.554
PDCD1	0.554
DPT	0.555
DPT	0.555
CISH	0.556
CISH	0.556
CCL21	0.556
CCL21	0.556
HPRT1	0.557
HPRT1	0.557
DUOX1	0.557
DUOX1	0.557
CSF1R	0.557
CSF1R	0.557
PIK3CD	0.557
PIK3CD	0.557
CD55	0.559
CD55	0.559
NLRP3	0.559
NLRP3	0.559
ID3	0.56
ID3	0.56
RAG2	0.56
RAG2	0.56
TNFRSF1B	0.56
TNFRSF1B	0.56
TNFSF18	0.56
TNFSF18	0.56
CCL19	0.56
CCL19	0.56
EGR1	0.56
EGR1	0.56
ANO1	0.56
ANO1	0.56
RAG1	0.561
RAG1	0.561
MAPK3	0.563
MAPK3	0.563
ENSG00000273637	0.563
