interactor	score
CA9	0.256
CA9	0.256
EIF4EBP1	0.256
EIF4EBP1	0.256
CA1	0.256
CA1	0.256
SEMA4D	0.258
SEMA4D	0.258
CDC42	0.259
CDC42	0.259
FGF9	0.259
FGF9	0.259
CDKN1A	0.264
CDKN1A	0.264
ITGAM	0.265
ITGAM	0.265
SNAI2	0.268
SNAI2	0.268
BMP2	0.269
BMP2	0.269
S100A4	0.27
S100A4	0.27
PLAU	0.271
PLAU	0.271
NHLRC1	0.271
NHLRC1	0.271
SEMA4F	0.272
SEMA4F	0.272
MAP1LC3B2	0.273
MAP1LC3B2	0.273
MAP1LC3C	0.273
MAP1LC3C	0.273
FMN1	0.273
FMN1	0.273
GPR124	0.274
GPR124	0.274
ARHGAP35	0.274
ARHGAP35	0.274
CGGBP1	0.276
CGGBP1	0.276
FGF3	0.278
FGF3	0.278
SMTN	0.279
SMTN	0.279
ANG	0.28
ANG	0.28
P4HA2	0.281
P4HA2	0.281
EPHB4	0.282
EPHB4	0.282
TYMP	0.284
TYMP	0.284
SELE	0.284
SELE	0.284
CARD9	0.286
CARD9	0.286
ESR1	0.286
ESR1	0.286
IDH1	0.29
IDH1	0.29
SPRY2	0.293
SPRY2	0.293
FRAT2	0.293
FRAT2	0.293
FRAT1	0.293
FRAT1	0.293
ADSL	0.294
ADSL	0.294
TAGLN	0.294
TAGLN	0.294
CTNNB1	0.294
CTNNB1	0.294
SMAD4	0.294
SMAD4	0.294
ALK	0.294
ALK	0.294
SPRY4	0.297
SPRY4	0.297
CYB5R3	0.297
CYB5R3	0.297
ENSG00000279624	0.297
ENSG00000279624	0.297
HEY1	0.298
HEY1	0.298
PTGS2	0.298
PTGS2	0.298
ACTA2	0.298
ACTA2	0.298
MYH11	0.302
MYH11	0.302
NOTCH4	0.305
NOTCH4	0.305
ARNT	0.307
ARNT	0.307
EFNA1	0.308
EFNA1	0.308
TBX1	0.309
TBX1	0.309
TGFBR2	0.309
TGFBR2	0.309
MTOR	0.309
MTOR	0.309
PTPRC	0.309
PTPRC	0.309
CEL	0.309
CEL	0.309
ELN	0.31
ELN	0.31
MB	0.311
MB	0.311
ANGPT4	0.311
ANGPT4	0.311
POLR2F	0.311
POLR2F	0.311
IGLL5	0.313
IGLL5	0.313
CLDN5	0.316
CLDN5	0.316
NCOA2	0.322
NCOA2	0.322
BMP5	0.323
BMP5	0.323
SLC2A1	0.324
SLC2A1	0.324
MAP1LC3A	0.325
MAP1LC3A	0.325
NGF	0.325
NGF	0.325
FES	0.327
FES	0.327
PROM1	0.33
PROM1	0.33
ACTB	0.336
ACTB	0.336
MAPK8	0.337
MAPK8	0.337
CXCL1	0.337
CXCL1	0.337
SMAD3	0.344
SMAD3	0.344
CCL5	0.345
CCL5	0.345
FRS2	0.345
FRS2	0.345
RPL23A	0.347
RPL23A	0.347
IL10	0.347
IL10	0.347
ACVRL1	0.347
ACVRL1	0.347
SIL1	0.348
SIL1	0.348
EWSR1	0.348
EWSR1	0.348
CD44	0.349
CD44	0.349
NF1	0.349
NF1	0.349
C12orf43	0.353
C12orf43	0.353
KANSL3	0.357
KANSL3	0.357
ST8SIA1	0.366
ST8SIA1	0.366
GFAP	0.368
GFAP	0.368
EGLN1	0.37
EGLN1	0.37
SPRY1	0.37
SPRY1	0.37
PHLDB2	0.37
PHLDB2	0.37
ENDOV	0.37
ENDOV	0.37
RGS5	0.371
RGS5	0.371
MLLT11	0.372
MLLT11	0.372
ITPKB	0.373
ITPKB	0.373
UNC5B	0.378
UNC5B	0.378
TGFBR1	0.386
TGFBR1	0.386
PTPN6	0.386
PTPN6	0.386
RPL12	0.386
RPL12	0.386
IPO11	0.386
IPO11	0.386
B4GALT5	0.388
B4GALT5	0.388
COL18A1	0.39
COL18A1	0.39
OLIG2	0.393
OLIG2	0.393
LRRC70	0.4
LRRC70	0.4
HNRNPC	0.405
HNRNPC	0.405
ENSG00000244255	0.406
ENSG00000244255	0.406
JUN	0.407
JUN	0.407
APRT	0.408
APRT	0.408
ENG	0.409
ENG	0.409
PIFO	0.414
PIFO	0.414
BMP7	0.414
BMP7	0.414
RET	0.42
RET	0.42
MAP2K7	0.421
MAP2K7	0.421
MYB	0.422
MYB	0.422
SIM1	0.424
SIM1	0.424
CFB	0.425
CFB	0.425
CXCR4	0.426
CXCR4	0.426
CDKN2A	0.447
CDKN2A	0.447
IL6	0.474
IL6	0.474
NR4A1	0.475
NR4A1	0.475
MMP9	0.477
MMP9	0.477
PRKCD	0.481
PRKCD	0.481
EDN1	0.483
EDN1	0.483
TIE1	0.493
TIE1	0.493
ADIPOQ	0.494
ADIPOQ	0.494
XPR1	0.497
XPR1	0.497
TCEA1	0.498
TCEA1	0.498
APOBEC3A	0.499
APOBEC3A	0.499
CDH5	0.5
CDH5	0.5
CXCL12	0.515
CXCL12	0.515
NES	0.524
NES	0.524
TNF	0.526
TNF	0.526
MYC	0.54
