interactor	score
LYN	0.633
LYN	0.633
PTHLH	0.638
PTHLH	0.638
ITPKB	0.638
ITPKB	0.638
ELANE	0.649
ELANE	0.649
IL22	0.65
IL22	0.65
CD200	0.65
CD200	0.65
SERPINB2	0.652
SERPINB2	0.652
IKBKE	0.657
IKBKE	0.657
TYK2	0.658
TYK2	0.658
NELFCD	0.67
NELFCD	0.67
ANGPT1	0.671
ANGPT1	0.671
NCAM1	0.673
NCAM1	0.673
IRF3	0.681
IRF3	0.681
RARRES2	0.682
RARRES2	0.682
MUC1	0.685
MUC1	0.685
VEGFC	0.687
VEGFC	0.687
ENSG00000026036	0.69
ENSG00000026036	0.69
HIF1A	0.69
HIF1A	0.69
VR1	0.692
VR1	0.692
ENSG00000196689	0.692
ENSG00000196689	0.692
ENSG00000255819	0.704
ENSG00000255819	0.704
IGHV3-11	0.709
IGHV3-11	0.709
ENSG00000259680	0.709
ENSG00000259680	0.709
ICOSL	0.711
ICOSL	0.711
ADAM9	0.711
ADAM9	0.711
MMP12	0.727
MMP12	0.727
CD19	0.73
CD19	0.73
DDX41	0.734
DDX41	0.734
MRC1	0.747
MRC1	0.747
ZFP36	0.748
ZFP36	0.748
CXCL2	0.762
CXCL2	0.762
MUC5AC	0.781
MUC5AC	0.781
SOD2	0.783
SOD2	0.783
TLR5	0.788
TLR5	0.788
CASP1	0.792
CASP1	0.792
ENSG00000173366	0.798
ENSG00000173366	0.798
IDO1	0.801
IDO1	0.801
PECAM1	0.805
PECAM1	0.805
BDNF	0.805
BDNF	0.805
ITGAX	0.811
ITGAX	0.811
TNFRSF9	0.814
TNFRSF9	0.814
CCL4L1	0.836
CCL4L1	0.836
MYD88	0.837
MYD88	0.837
KCTD13	0.844
KCTD13	0.844
PTPRC	0.853
PTPRC	0.853
TNFAIP8	0.871
TNFAIP8	0.871
AKT1	0.876
AKT1	0.876
CCL3	0.891
CCL3	0.891
ITGAM	0.896
ITGAM	0.896
PSMD6	0.9
PSMD6	0.9
PSMB3	0.9
PSMB3	0.9
PSMA1	0.904
PSMA1	0.904
TNIK	0.904
TNIK	0.904
SHFM1	0.909
SHFM1	0.909
CCL4	0.912
CCL4	0.912
NRK	0.917
NRK	0.917
NSMAF	0.917
NSMAF	0.917
SPPL2B	0.917
SPPL2B	0.917
RXRA	0.918
RXRA	0.918
VEGFA	0.919
VEGFA	0.919
CRADD	0.921
CRADD	0.921
TNFSF14	0.921
TNFSF14	0.921
OTUD7B	0.921
OTUD7B	0.921
MAP3K14	0.925
MAP3K14	0.925
CCL5	0.94
CCL5	0.94
PSMC6	0.94
PSMC6	0.94
MAP2K6	0.94
MAP2K6	0.94
CEBPA	0.941
CEBPA	0.941
MAP2K4	0.942
MAP2K4	0.942
LTB	0.942
LTB	0.942
PSMD9	0.942
PSMD9	0.942
GNB2L1	0.943
GNB2L1	0.943
FAT1	0.943
FAT1	0.943
TNFRSF11A	0.947
TNFRSF11A	0.947
UBC	0.951
UBC	0.951
TRAF3	0.958
TRAF3	0.958
LTA	0.961
LTA	0.961
TRAF6	0.972
TRAF6	0.972
MYC	0.976
MYC	0.976
PSMC3	0.986
PSMC3	0.986
TNFAIP3	0.987
TNFAIP3	0.987
BIRC2	0.996
BIRC2	0.996
IL10	0.997
IL10	0.997
IKBKG	0.999
IKBKG	0.999
IKBKB	0.999
IKBKB	0.999
CX3CL1	0.801
CX3CL1	0.801
MAP4K5	0.904
MAP4K5	0.904
RALBP1	0.865
RALBP1	0.865
PSMA4	0.905
PSMA4	0.905
PSMC4	0.909
PSMC4	0.909
TNFRSF1A	0.999
TNFRSF1A	0.999
BCL3	0.714
BCL3	0.714
TBX21	0.735
TBX21	0.735
PSMD5	0.926
PSMD5	0.926
PSMD8	0.9
PSMD8	0.9
MADCAM1	0.725
MADCAM1	0.725
MIF	0.649
MIF	0.649
OSM	0.681
OSM	0.681
MAPK1	0.836
MAPK1	0.836
HMOX1	0.816
HMOX1	0.816
TAB1	0.965
TAB1	0.965
GZMB	0.732
GZMB	0.732
PSMA3	0.915
PSMA3	0.915
NFKBIA	0.992
NFKBIA	0.992
PSME2	0.91
PSME2	0.91
PSMD10	0.906
PSMD10	0.906
TIMP1	0.692
TIMP1	0.692
MMP2	0.798
MMP2	0.798
CCL22	0.663
CCL22	0.663
CCL17	0.676
CCL17	0.676
PSMD7	0.901
PSMD7	0.901
SMPD3	0.944
SMPD3	0.944
DECR1	0.787
DECR1	0.787
TNFRSF10A	0.698
TNFRSF10A	0.698
RELB	0.722
RELB	0.722
RETN	0.864
RETN	0.864
TGFB1	0.785
TGFB1	0.785
PON1	0.643
PON1	0.643
HGF	0.64
HGF	0.64
NAMPT	0.775
NAMPT	0.775
SERPINE1	0.863
SERPINE1	0.863
PSMA2	0.903
PSMA2	0.903
MPO	0.848
MPO	0.848
CSF3	0.827
CSF3	0.827
CCL2	0.971
CCL2	0.971
CCL13	0.7
CCL13	0.7
CD38	0.778
CD38	0.778
NFKB1	0.968
NFKB1	0.968
IL2	0.957
IL2	0.957
SPI1	0.761
SPI1	0.761
CCND1	0.725
CCND1	0.725
IL10RA	0.642
IL10RA	0.642
CD69	0.792
CD69	0.792
IL23A	0.674
IL23A	0.674
LTBR	0.973
LTBR	0.973
IFNG	0.975
IFNG	0.975
GAPDH	0.75
GAPDH	0.75
MAPK14	0.984
MAPK14	0.984
IL4	0.992
IL4	0.992
IL5	0.874
IL5	0.874
NR3C1	0.955
NR3C1	0.955
PRTN3	0.729
PRTN3	0.729
SELL	0.794
SELL	0.794
DUSP1	0.776
DUSP1	0.776
KLRK1	0.704
KLRK1	0.704
CAT	0.694
CAT	0.694
TNFSF10	0.726
TNFSF10	0.726
AHR	0.695
AHR	0.695
TNFAIP6	0.741
TNFAIP6	0.741
IRF1	0.807
IRF1	0.807
SOX9	0.614
SOX9	0.614
TNFSF9	0.633
TNFSF9	0.633
CCR7	0.843
CCR7	0.843
TRAF2	0.999
TRAF2	0.999
HSPB1	0.641
HSPB1	0.641
CD68	0.741
CD68	0.741
APOE	0.793
APOE	0.793
EPO	0.63
EPO	0.63
GDF15	0.617
GDF15	0.617
NR0B2	0.927
