interactor	score
FURIN	0.637
FURIN	0.637
SEMA3B	0.648
SEMA3B	0.648
CCL4	0.668
CCL4	0.668
CD24	0.681
CD24	0.681
FGF1	0.793
FGF1	0.793
MYC	0.854
MYC	0.854
VEGFC	0.94
VEGFC	0.94
SEMA3F	0.788
SEMA3F	0.788
ITGA3	0.921
ITGA3	0.921
CDH17	0.629
CDH17	0.629
DCN	0.759
DCN	0.759
GRN	0.593
GRN	0.593
CEACAM1	0.598
CEACAM1	0.598
TNS1	0.634
TNS1	0.634
NGFR	0.851
NGFR	0.851
REM1	0.617
REM1	0.617
THPO	0.734
THPO	0.734
SEMA4G	0.592
SEMA4G	0.592
SIRT1	0.719
SIRT1	0.719
OSM	0.754
OSM	0.754
MAPK1	0.672
MAPK1	0.672
XBP1	0.618
XBP1	0.618
HMOX1	0.867
HMOX1	0.867
APEX1	0.594
APEX1	0.594
TIMP1	0.973
TIMP1	0.973
MMP2	0.979
MMP2	0.979
CSK	0.937
CSK	0.937
DECR1	0.794
DECR1	0.794
PLAT	0.721
PLAT	0.721
RETN	0.719
RETN	0.719
TGFB1	0.993
TGFB1	0.993
CEACAM5	0.59
CEACAM5	0.59
EPOR	0.708
EPOR	0.708
HGF	0.992
HGF	0.992
SERPINE1	0.982
SERPINE1	0.982
CSF3	0.788
CSF3	0.788
RPS6KB1	0.775
RPS6KB1	0.775
CCL2	0.914
CCL2	0.914
VTN	0.973
VTN	0.973
IL2	0.733
IL2	0.733
CCND1	0.784
CCND1	0.784
KITLG	0.709
KITLG	0.709
CDKN1B	0.696
CDKN1B	0.696
IFNG	0.669
IFNG	0.669
GAPDH	0.745
GAPDH	0.745
MAPK14	0.661
MAPK14	0.661
HBEGF	0.646
HBEGF	0.646
LOX	0.607
LOX	0.607
SPARC	0.968
SPARC	0.968
IL4	0.726
IL4	0.726
IL5	0.67
IL5	0.67
SEMA3G	0.594
SEMA3G	0.594
HRG	0.931
HRG	0.931
NCK2	0.908
NCK2	0.908
IGFBP5	0.631
IGFBP5	0.631
TGFB3	0.941
TGFB3	0.941
FLT3	0.884
FLT3	0.884
AHR	0.744
AHR	0.744
SRGN	0.917
SRGN	0.917
BHLHE41	0.619
BHLHE41	0.619
TNFAIP6	0.634
TNFAIP6	0.634
PI3	0.669
PI3	0.669
PLCG1	0.935
PLCG1	0.935
SNAI1	0.792
SNAI1	0.792
EFNB2	0.798
EFNB2	0.798
BMP4	0.84
BMP4	0.84
LIF	0.599
LIF	0.599
DLL4	0.889
DLL4	0.889
ISLR	0.9
ISLR	0.9
MYOD1	0.626
MYOD1	0.626
CD68	0.668
CD68	0.668
EGLN3	0.74
EGLN3	0.74
ACTN4	0.923
ACTN4	0.923
EPO	0.918
EPO	0.918
SESN2	0.658
SESN2	0.658
SERPINF1	0.819
SERPINF1	0.819
JAG1	0.603
JAG1	0.603
CRP	0.839
CRP	0.839
CHI3L1	0.761
CHI3L1	0.761
KRAS	0.823
KRAS	0.823
LYVE1	0.794
LYVE1	0.794
VHL	0.97
VHL	0.97
PDGFRA	0.899
PDGFRA	0.899
SEMA6A	0.613
SEMA6A	0.613
NT5E	0.601
NT5E	0.601
CDK4	0.625
CDK4	0.625
MDM2	0.713
MDM2	0.713
ORM1	0.907
ORM1	0.907
ENPP2	0.673
ENPP2	0.673
NOV	0.662
NOV	0.662
TLR2	0.731
TLR2	0.731
MMP7	0.641
MMP7	0.641
MMP13	0.776
MMP13	0.776
THBS1	0.99
THBS1	0.99
ITGAV	0.943
ITGAV	0.943
VWF	0.986
VWF	0.986
CYBA	0.597
CYBA	0.597
CDH1	0.826
CDH1	0.826
PDGFRB	0.961
PDGFRB	0.961
SEMA7A	0.59
SEMA7A	0.59
FLT4	0.992
FLT4	0.992
CREBBP	0.956
CREBBP	0.956
TIMP2	0.676
TIMP2	0.676
E2F3	0.61
E2F3	0.61
GAB1	0.915
GAB1	0.915
MAPK3	0.79
MAPK3	0.79
A1BG	0.915
A1BG	0.915
EP300	0.973
EP300	0.973
IL1B	0.877
IL1B	0.877
NOTCH3	0.68
NOTCH3	0.68
SELP	0.66
SELP	0.66
EPAS1	0.98
EPAS1	0.98
AKT3	0.64
AKT3	0.64
IL7	0.669
IL7	0.669
KDR	0.999
KDR	0.999
PIK3CA	0.951
PIK3CA	0.951
CBL	0.921
CBL	0.921
MCAM	0.595
MCAM	0.595
GPC1	0.961
GPC1	0.961
FGF2	0.971
FGF2	0.971
SHC2	0.918
SHC2	0.918
STAT3	0.994
STAT3	0.994
ITGA9	0.915
ITGA9	0.915
ICAM1	0.89
ICAM1	0.89
F13A1	0.944
F13A1	0.944
KNG1	0.973
KNG1	0.973
FBXW11	0.9
FBXW11	0.9
EGF	0.993
EGF	0.993
SEMA3C	0.607
SEMA3C	0.607
SEMA3A	0.675
SEMA3A	0.675
NRP1	0.995
NRP1	0.995
CDK6	0.746
CDK6	0.746
TIMP3	0.603
TIMP3	0.603
ERBB3	0.826
ERBB3	0.826
PXN	0.951
PXN	0.951
FGF7	0.669
FGF7	0.669
IGF1R	0.915
IGF1R	0.915
IQGAP1	0.925
IQGAP1	0.925
TP53	0.918
TP53	0.918
ERBB2	0.956
ERBB2	0.956
SOD1	0.716
SOD1	0.716
REN	0.657
REN	0.657
RHOB	0.65
RHOB	0.65
ACKR3	0.719
ACKR3	0.719
IL9	0.647
IL9	0.647
PCYOX1L	0.9
PCYOX1L	0.9
EGFR	0.979
EGFR	0.979
IFNA1	0.688
IFNA1	0.688
NTRK2	0.879
NTRK2	0.879
NOTCH1	0.864
NOTCH1	0.864
SERPING1	0.919
SERPING1	0.919
FERMT3	0.905
FERMT3	0.905
MMP10	0.685
MMP10	0.685
CTF1	0.595
CTF1	0.595
IL18	0.788
IL18	0.788
MYCN	0.654
MYCN	0.654
TJP1	0.773
TJP1	0.773
FLT1	0.999
FLT1	0.999
GJA1	0.755
GJA1	0.755
ITGA1	0.927
ITGA1	0.927
BMP6	0.69
BMP6	0.69
DDAH1	0.611
DDAH1	0.611
SEMA3D	0.595
SEMA3D	0.595
THY1	0.648
THY1	0.648
WNT3A	0.691
WNT3A	0.691
OLA1	0.9
OLA1	0.9
APP	0.943
APP	0.943
ADAMTS1	0.77
ADAMTS1	0.77
CSF1R	0.881
CSF1R	0.881
PPARG	0.769
PPARG	0.769
KIT	0.953
KIT	0.953
EIF5B	0.81
EIF5B	0.81
STC1	0.688
STC1	0.688
ACE	0.798
ACE	0.798
FGFR4	0.803
FGFR4	0.803
WNT1	0.655
WNT1	0.655
TNFSF12	0.61
TNFSF12	0.61
PDPN	0.594
PDPN	0.594
VCAM1	0.852
VCAM1	0.852
RBMS1	0.696
RBMS1	0.696
IGFBP7	0.627
IGFBP7	0.627
ALB	0.986
ALB	0.986
PTX3	0.658
PTX3	0.658
CXCL5	0.609
CXCL5	0.609
PPBP	0.94
PPBP	0.94
PF4	0.973
PF4	0.973
CAMP	0.611
CAMP	0.611
MST1R	0.634
MST1R	0.634
ANXA5	0.793
ANXA5	0.793
IL15	0.675
IL15	0.675
IL3	0.642
IL3	0.642
CSF2	0.785
CSF2	0.785
SHH	0.813
SHH	0.813
NOS3	0.993
NOS3	0.993
FIGF	0.934
FIGF	0.934
NGB	0.605
NGB	0.605
MMP3	0.669
MMP3	0.669
ANPEP	0.69
ANPEP	0.69
STAT6	0.94
STAT6	0.94
CA4	0.632
CA4	0.632
ANGPTL4	0.592
ANGPTL4	0.592
PRL	0.767
PRL	0.767
CCL11	0.7
CCL11	0.7
BCL2L1	0.678
BCL2L1	0.678
IGF1	0.993
IGF1	0.993
HSPA4	0.698
HSPA4	0.698
SEMA3E	0.628
SEMA3E	0.628
INSR	0.701
INSR	0.701
CTLA4	0.63
CTLA4	0.63
GTPBP2	0.902
GTPBP2	0.902
ADORA2B	0.642
ADORA2B	0.642
CTNNA1	0.913
CTNNA1	0.913
IL13	0.826
IL13	0.826
PRKCB	0.691
PRKCB	0.691
CXCL10	0.722
CXCL10	0.722
FGB	0.907
FGB	0.907
FGA	0.909
FGA	0.909
CXCL8	0.954
CXCL8	0.954
SEMA4C	0.594
SEMA4C	0.594
EIF2AK3	0.741
EIF2AK3	0.741
CYCS	0.616
CYCS	0.616
MMP14	0.809
MMP14	0.809
F2	0.644
F2	0.644
PLG	0.969
PLG	0.969
OLR1	0.597
OLR1	0.597
TERT	0.711
TERT	0.711
PRKACA	0.901
PRKACA	0.901
ADAM17	0.817
ADAM17	0.817
CD34	0.899
CD34	0.899
