IL1B,P01584,9606.ENSP00000263341
IL2,P60568,9606.ENSP00000226730
IL4,P05112,9606.ENSP00000231449
IL5,P05113,9606.ENSP00000231454
IL6,P05231,9606.ENSP00000385675
IL7,P13232,9606.ENSP00000263851
CXCL8,P10145,9606.ENSP00000306512
IL10,P22301,9606.ENSP00000412237
IL12B,P29460,9606.ENSP00000231228
IL13,P35225,9606.ENSP00000304915
IL17A,Q16552,9606.ENSP00000344192
CSF3,P09919,9606.ENSP00000225474
CSF2,P04141,9606.ENSP00000296871
IFNG,P01579,9606.ENSP00000229135
CCL2,P13500,9606.ENSP00000225831
CCL4,P13236,9606.ENSP00000482259
TNF,P01375,9606.ENSP00000398698
IL1RN,P18510,9606.ENSP00000259206
IL9,P15248,9606.ENSP00000274520
IL15,P40933,9606.ENSP00000296545
CCL11,P51671,9606.ENSP00000302234
FGF2,P09038,9606.ENSP00000264498
CXCL10,P02778,9606.ENSP00000305651
PDGFB,P01127,9606.ENSP00000330382
CCL5,P13501,9606.ENSP00000474412
VEGFA,P15692,9606.ENSP00000478570
CCL3,P10147,9606.ENSP00000477908
