ID	Gene Name	Species	GOTERM_BP_DIRECT
OAS1	2'-5'-oligoadenylate synthetase 1(OAS1)	Homo sapiens	GO:0006006~glucose metabolic process,GO:0006164~purine nucleotide biosynthetic process,GO:0006955~immune response,GO:0009615~response to virus,GO:0035457~cellular response to interferon-alpha,GO:0042593~glucose homeostasis,GO:0045071~negative regulation of viral genome replication,GO:0051259~protein oligomerization,GO:0051607~defense response to virus,GO:0060333~interferon-gamma-mediated signaling pathway,GO:0060337~type I interferon signaling pathway,GO:0060700~regulation of ribonuclease activity,
OAS2	2'-5'-oligoadenylate synthetase 2(OAS2)	Homo sapiens	GO:0006139~nucleobase-containing compound metabolic process,GO:0006164~purine nucleotide biosynthetic process,GO:0006401~RNA catabolic process,GO:0006486~protein glycosylation,GO:0006955~immune response,GO:0009615~response to virus,GO:0018377~protein myristoylation,GO:0051607~defense response to virus,GO:0060333~interferon-gamma-mediated signaling pathway,GO:0060337~type I interferon signaling pathway,
OAS3	2'-5'-oligoadenylate synthetase 3(OAS3)	Homo sapiens	GO:0006139~nucleobase-containing compound metabolic process,GO:0006955~immune response,GO:0009615~response to virus,GO:0045071~negative regulation of viral genome replication,GO:0051607~defense response to virus,GO:0060333~interferon-gamma-mediated signaling pathway,GO:0060337~type I interferon signaling pathway,GO:0060700~regulation of ribonuclease activity,
OASL	2'-5'-oligoadenylate synthetase like(OASL)	Homo sapiens	GO:0009615~response to virus,GO:0045071~negative regulation of viral genome replication,GO:0051607~defense response to virus,GO:0060333~interferon-gamma-mediated signaling pathway,GO:0060337~type I interferon signaling pathway,
DECR1	2,4-dienoyl-CoA reductase 1, mitochondrial(DECR1)	Homo sapiens	GO:0006635~fatty acid beta-oxidation,GO:0051289~protein homotetramerization,
NT5C	5', 3'-nucleotidase, cytosolic(NT5C)	Homo sapiens	GO:0006195~purine nucleotide catabolic process,GO:0009223~pyrimidine deoxyribonucleotide catabolic process,GO:0009264~deoxyribonucleotide catabolic process,GO:0016311~dephosphorylation,GO:0046135~pyrimidine nucleoside catabolic process,
NT5E	5'-nucleotidase ecto(NT5E)	Homo sapiens	GO:0006195~purine nucleotide catabolic process,GO:0006196~AMP catabolic process,GO:0006259~DNA metabolic process,GO:0007159~leukocyte cell-cell adhesion,GO:0009166~nucleotide catabolic process,GO:0016311~dephosphorylation,GO:0046086~adenosine biosynthetic process,GO:0046135~pyrimidine nucleoside catabolic process,GO:0050728~negative regulation of inflammatory response,
NT5C3A	5'-nucleotidase, cytosolic IIIA(NT5C3A)	Homo sapiens	GO:0006213~pyrimidine nucleoside metabolic process,GO:0009117~nucleotide metabolic process,GO:0016311~dephosphorylation,GO:0046085~adenosine metabolic process,GO:0046135~pyrimidine nucleoside catabolic process,
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase(ATIC)	Homo sapiens	GO:0003360~brainstem development,GO:0006139~nucleobase-containing compound metabolic process,GO:0006164~purine nucleotide biosynthetic process,GO:0006189~'de novo' IMP biosynthetic process,GO:0009116~nucleoside metabolic process,GO:0009168~purine ribonucleoside monophosphate biosynthetic process,GO:0010035~response to inorganic substance,GO:0021549~cerebellum development,GO:0021987~cerebral cortex development,GO:0031100~organ regeneration,GO:0046452~dihydrofolate metabolic process,GO:0046654~tetrahydrofolate biosynthetic process,GO:0098609~cell-cell adhesion,
HTR1A	5-hydroxytryptamine receptor 1A(HTR1A)	Homo sapiens	GO:0001662~behavioral fear response,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007198~adenylate cyclase-inhibiting serotonin receptor signaling pathway,GO:0007210~serotonin receptor signaling pathway,GO:0007268~chemical synaptic transmission,GO:0008283~cell proliferation,GO:0008284~positive regulation of cell proliferation,GO:0014062~regulation of serotonin secretion,GO:0035640~exploration behavior,GO:0042053~regulation of dopamine metabolic process,GO:0042310~vasoconstriction,GO:0042428~serotonin metabolic process,GO:0046883~regulation of hormone secretion,GO:0050795~regulation of behavior,
HTR1B	5-hydroxytryptamine receptor 1B(HTR1B)	Homo sapiens	GO:0002031~G-protein coupled receptor internalization,GO:0007187~G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger,GO:0007198~adenylate cyclase-inhibiting serotonin receptor signaling pathway,GO:0007200~phospholipase C-activating G-protein coupled receptor signaling pathway,GO:0007205~protein kinase C-activating G-protein coupled receptor signaling pathway,GO:0007268~chemical synaptic transmission,GO:0007631~feeding behavior,GO:0014059~regulation of dopamine secretion,GO:0014063~negative regulation of serotonin secretion,GO:0030818~negative regulation of cAMP biosynthetic process,GO:0032229~negative regulation of synaptic transmission, GABAergic,GO:0035690~cellular response to drug,GO:0042220~response to cocaine,GO:0042310~vasoconstriction,GO:0042493~response to drug,GO:0042756~drinking behavior,GO:0045471~response to ethanol,GO:0046849~bone remodeling,GO:0050795~regulation of behavior,GO:0051209~release of sequestered calcium ion into cytosol,GO:0051385~response to mineralocorticoid,GO:0051967~negative regulation of synaptic transmission, glutamatergic,GO:0071312~cellular response to alkaloid,GO:0071502~cellular response to temperature stimulus,GO:1904707~positive regulation of vascular smooth muscle cell proliferation,
HTR1D	5-hydroxytryptamine receptor 1D(HTR1D)	Homo sapiens	GO:0007187~G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger,GO:0007193~adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,GO:0007200~phospholipase C-activating G-protein coupled receptor signaling pathway,GO:0007210~serotonin receptor signaling pathway,GO:0007268~chemical synaptic transmission,GO:0009636~response to toxic substance,GO:0014827~intestine smooth muscle contraction,GO:0040012~regulation of locomotion,GO:0042310~vasoconstriction,GO:0042493~response to drug,GO:0050795~regulation of behavior,GO:0051209~release of sequestered calcium ion into cytosol,
HTR1E	5-hydroxytryptamine receptor 1E(HTR1E)	Homo sapiens	GO:0007186~G-protein coupled receptor signaling pathway,GO:0007187~G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger,GO:0007193~adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,GO:0007200~phospholipase C-activating G-protein coupled receptor signaling pathway,GO:0007210~serotonin receptor signaling pathway,GO:0007268~chemical synaptic transmission,GO:0030815~negative regulation of cAMP metabolic process,GO:0042493~response to drug,GO:0051209~release of sequestered calcium ion into cytosol,
HTR1F	5-hydroxytryptamine receptor 1F(HTR1F)	Homo sapiens	GO:0007187~G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger,GO:0007193~adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,GO:0007200~phospholipase C-activating G-protein coupled receptor signaling pathway,GO:0007210~serotonin receptor signaling pathway,GO:0007268~chemical synaptic transmission,GO:0042493~response to drug,GO:0051209~release of sequestered calcium ion into cytosol,
HTR2C	5-hydroxytryptamine receptor 2C(HTR2C)	Homo sapiens	GO:0001662~behavioral fear response,GO:0006182~cGMP biosynthetic process,GO:0006874~cellular calcium ion homeostasis,GO:0007193~adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,GO:0007200~phospholipase C-activating G-protein coupled receptor signaling pathway,GO:0007208~phospholipase C-activating serotonin receptor signaling pathway,GO:0007210~serotonin receptor signaling pathway,GO:0007268~chemical synaptic transmission,GO:0007626~locomotory behavior,GO:0007631~feeding behavior,GO:0010513~positive regulation of phosphatidylinositol biosynthetic process,GO:0031644~regulation of neurological system process,GO:0032098~regulation of appetite,GO:0042493~response to drug,GO:0043397~regulation of corticotropin-releasing hormone secretion,GO:0045600~positive regulation of fat cell differentiation,GO:0051209~release of sequestered calcium ion into cytosol,GO:0051482~positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway,GO:0070374~positive regulation of ERK1 and ERK2 cascade,
HTR3A	5-hydroxytryptamine receptor 3A(HTR3A)	Homo sapiens	GO:0006811~ion transport,GO:0007165~signal transduction,GO:0007271~synaptic transmission, cholinergic,GO:0032414~positive regulation of ion transmembrane transporter activity,GO:0034220~ion transmembrane transport,GO:0042220~response to cocaine,GO:0045471~response to ethanol,GO:0071363~cellular response to growth factor stimulus,GO:0098655~cation transmembrane transport,
HTR5A	5-hydroxytryptamine receptor 5A(HTR5A)	Homo sapiens	GO:0007186~G-protein coupled receptor signaling pathway,GO:0007187~G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger,GO:0007198~adenylate cyclase-inhibiting serotonin receptor signaling pathway,GO:0007268~chemical synaptic transmission,GO:0019933~cAMP-mediated signaling,GO:0021766~hippocampus development,GO:0032355~response to estradiol,
DHCR7	7-dehydrocholesterol reductase(DHCR7)	Homo sapiens	GO:0001568~blood vessel development,GO:0006695~cholesterol biosynthetic process,GO:0009791~post-embryonic development,GO:0030154~cell differentiation,GO:0030324~lung development,GO:0033489~cholesterol biosynthetic process via desmosterol,GO:0033490~cholesterol biosynthetic process via lathosterol,GO:0035264~multicellular organism growth,GO:0042127~regulation of cell proliferation,GO:0045540~regulation of cholesterol biosynthetic process,GO:0055114~oxidation-reduction process,
OGG1	8-oxoguanine DNA glycosylase(OGG1)	Homo sapiens	GO:0002526~acute inflammatory response,GO:0006281~DNA repair,GO:0006284~base-excision repair,GO:0006289~nucleotide-excision repair,GO:0006355~regulation of transcription, DNA-templated,GO:0006974~cellular response to DNA damage stimulus,GO:0006979~response to oxidative stress,GO:0007568~aging,GO:0009314~response to radiation,GO:0009416~response to light stimulus,GO:0032355~response to estradiol,GO:0033158~regulation of protein import into nucleus, translocation,GO:0033683~nucleotide-excision repair, DNA incision,GO:0042493~response to drug,GO:0043066~negative regulation of apoptotic process,GO:0045007~depurination,GO:0045008~depyrimidination,GO:0045471~response to ethanol,GO:0051593~response to folic acid,GO:0071276~cellular response to cadmium ion,GO:1901291~negative regulation of double-strand break repair via single-strand annealing,
AKAP1	A-kinase anchoring protein 1(AKAP1)	Homo sapiens	GO:0007596~blood coagulation,GO:0010738~regulation of protein kinase A signaling,
AKAP12	A-kinase anchoring protein 12(AKAP12)	Homo sapiens	GO:0006605~protein targeting,GO:0007186~G-protein coupled receptor signaling pathway,GO:0010739~positive regulation of protein kinase A signaling,GO:0030819~positive regulation of cAMP biosynthetic process,GO:0090036~regulation of protein kinase C signaling,
AKAP7	A-kinase anchoring protein 7(AKAP7)	Homo sapiens	GO:0001508~action potential,GO:0006811~ion transport,GO:0008104~protein localization,GO:0010738~regulation of protein kinase A signaling,GO:0035556~intracellular signal transduction,GO:0060306~regulation of membrane repolarization,GO:0071320~cellular response to cAMP,GO:1901381~positive regulation of potassium ion transmembrane transport,GO:1902261~positive regulation of delayed rectifier potassium channel activity,
