snp_id	reported	clin_significance	gene_1	gene_consequence1	gene_2	gene_consequence2
rs222747	Not Reported in ClinVar	Not reported	TRPV1 	 Missense Variant	None	None
rs324420	Reported in ClinVar	<td>Benign</td>	FAAH 	 Missense Variant	None	None
rs6265	Reported in ClinVar	<td>Benign</td>	BDNF-AS 	 Non Coding Transcript Variant	BDNF 	 Missense Variant
rs4680	Reported in ClinVar	<td>Drug-Response</td>	MIR4761 	 2KB Upstream Variant	COMT 	 Missense Variant
rs4880213	Not Reported in ClinVar	Not reported	None	None	COMT 	 Missense Variant
rs1805247	Reported in ClinVar	<td>Benign</td>	GRIN2B 	 Synonymous Variant	None	None
rs3757351	Not Reported in ClinVar	Not reported	LOC105377936 	 2KB Upstream Variant	DDO 	 Intron Variant
rs6277	Reported in ClinVar	<td>Benign-Likely-Benign</td>	DRD2 	 Synonymous Variant	None	None
rs1042522	Reported in ClinVar	<td>Benign</td>	TP53 	 Missense Variant	None	None
rs907094	Not Reported in ClinVar	Not reported	PPP1R1B 	 Intron Variant	None	None
rs1130233	Reported in ClinVar	<td>Benign</td>	AKT1 	 Synonymous Variant	None	None
rs6330	Reported in ClinVar	<td>Benign</td>	NGF-AS1 	 Intron Variant	NGF 	 Missense Variant
rs4869676	Not Reported in ClinVar	Not reported	SLC1A3 	 Intron Variant	None	None
rs16940	Reported in ClinVar	<td>Benign</td>	BRCA1 	 Synonymous Variant	None	None
rs926103	Not Reported in ClinVar	Not reported	NTRK1 	 2KB Upstream Variant	SH2D2A 	 Missense Variant
rs244072	Not Reported in ClinVar	Not reported	ADA 	 Intron Variant	None	None
rs2057149	Not Reported in ClinVar	Not reported	DDO 	 Intron Variant	None	None
rs11102930	Reported in ClinVar	<td>Benign</td>	NGF 	 2KB Upstream Variant	NGF-AS1 	 Intron Variant
rs7301328	Reported in ClinVar	<td>Benign</td>	GRIN2B 	 Synonymous Variant	None	None
rs4649124	Not Reported in ClinVar	Not reported	CNR2 	 Missense Variant	None	None
rs2494732	Not Reported in ClinVar	Not reported	AKT1 	 Intron Variant	None	None
rs6275	Reported in ClinVar	<td>Benign</td>	DRD2 	 Synonymous Variant	None	None
rs7131056	Not Reported in ClinVar	Not reported	DRD2 	 Intron Variant	None	None
rs1063045	Reported in ClinVar	<td>Benign</td>	NBN 	 Synonymous Variant	None	None
rs1801406	Reported in ClinVar	<td>Benign</td>	BRCA2 	 Missense Variant	None	None
rs1049524	Reported in ClinVar	<td>Benign</td>	SLC1A3 	 3 Prime UTR Variant	None	None
rs4648318	Not Reported in ClinVar	Not reported	DRD2 	 Intron Variant	None	None
rs1049522	Reported in ClinVar	<td>Benign</td>	SLC1A3 	 3 Prime UTR Variant	None	None
rs6293	Reported in ClinVar	<td>Benign</td>	LOC105376328 	 2KB Upstream Variant	GRIN1 	 Synonymous Variant
rs806368	Not Reported in ClinVar	Not reported	CNR1 	 3 Prime UTR Variant	None	None
rs2279744	Reported in ClinVar	<td>Risk-Factor</td>	MDM2 	 Intron Variant	None	None
rs2239622	Not Reported in ClinVar	Not reported	NGF-AS1 	 Intron Variant	NGF 	 Intron Variant
rs1130214	Not Reported in ClinVar	Not reported	AKT1 	 Intron Variant	None	None
rs806377	Not Reported in ClinVar	Not reported	CNR1 	 Intron Variant	None	None
rs1799880	Not Reported in ClinVar	Not reported	ADA 	 Intron Variant	None	None
rs2637988	Not Reported in ClinVar	Not reported	IL1RN 	 Intron Variant	None	None
rs707284	Not Reported in ClinVar	Not reported	ERBB4 	 Intron Variant	None	None
rs10932201	Not Reported in ClinVar	Not reported	CREB1 	 Intron Variant	None	None
rs6311	Reported in ClinVar	<td>Likely-Benign</td>	HTR2A 	 Intron Variant	None	None
rs2283792	Not Reported in ClinVar	Not reported	MAPK1 	 Intron Variant	None	None
rs2227307	Not Reported in ClinVar	Not reported	CXCL8 	 Intron Variant	None	None
rs11575812	Not Reported in ClinVar	Not reported	None	None	None	None
rs165599	None	Not reported	None	None	None	None
rs2857261	Not Reported in ClinVar	Not reported	IL15 	 Intron Variant	None	None
rs2072743	Not Reported in ClinVar	Not reported	MAOA 	 Intron Variant	None	None
rs1005651	Not Reported in ClinVar	Not reported	PRKCA 	 Intron Variant	None	None
rs514921	Not Reported in ClinVar	Not reported	WTAPP1 	 Intron Variant	MMP1 	 2KB Upstream Variant
